event_id,timestamp,machine_id,operator_id,task_id,site_id,event_type,severity,machine_speed_kmh,machine_state,distance_to_person_m,distance_to_vehicle_m,distance_to_obstacle_m,seatbelt_status,duration_seconds,resolved
SE000034,2025-09-09 10:24:00,M0014,OP0045,T00030,ST013,OBSTACLE_PROXIMITY,LOW,29.6,TRAVELING,,,6.2,FASTENED,47,True
SE000035,2025-09-09 10:50:00,M0014,OP0045,T00030,ST013,SEATBELT_VIOLATION,LOW,34.8,TRAVELING,,,,UNFASTENED,48,True
SE000036,2025-09-09 12:29:00,M0014,OP0045,T00030,ST013,OBSTACLE_PROXIMITY,HIGH,37.2,TRAVELING,,,1.8,FASTENED,35,True
SE000037,2025-05-10 13:09:00,M0023,OP0039,T00033,ST009,SEATBELT_VIOLATION,HIGH,0.4,LOADING,,,,UNFASTENED,58,False
SE000038,2025-04-02 10:43:00,M0006,OP0027,T00037,ST010,SEATBELT_VIOLATION,LOW,8.3,TRAVELING,,,,UNFASTENED,104,True
SE000039,2025-04-02 11:08:00,M0006,OP0027,T00037,ST010,PERSON_PROXIMITY,MEDIUM,2.2,DIGGING,4.2,,,FASTENED,28,True
SE000040,2025-02-14 16:03:00,M0030,OP0007,T00038,ST009,SEATBELT_VIOLATION,LOW,5.4,TRAVELING,,,,UNFASTENED,151,True
SE000041,2025-02-14 16:25:00,M0030,OP0007,T00038,ST009,SEATBELT_VIOLATION,HIGH,2.3,DIGGING,,,,UNFASTENED,127,False
SE000042,2025-03-31 12:22:00,M0001,OP0033,T00039,ST007,VEHICLE_PROXIMITY,MEDIUM,1.4,DIGGING,,2.9,,FASTENED,44,True
SE000043,2025-09-14 11:59:00,M0029,OP0052,T00042,ST010,SEATBELT_VIOLATION,HIGH,2.7,WORKING,,,,UNFASTENED,106,False
SE000044,2025-09-14 14:41:00,M0029,OP0052,T00042,ST010,PERSON_PROXIMITY,MEDIUM,1.7,WORKING,3.5,,,FASTENED,57,True
SE000045,2025-02-19 09:17:00,M0021,OP0007,T00043,ST014,PERSON_PROXIMITY,MEDIUM,14.1,TRAVELING,4.1,,,FASTENED,43,True
SE000046,2025-04-27 13:24:00,M0008,OP0011,T00044,ST008,SEATBELT_VIOLATION,MEDIUM,0.8,LOADING,,,,UNFASTENED,122,True
SE000047,2025-04-27 14:11:00,M0008,OP0011,T00044,ST008,SEATBELT_VIOLATION,LOW,1.9,WORKING,,,,UNFASTENED,139,True
SE000048,2025-04-27 14:20:00,M0008,OP0011,T00044,ST008,SEATBELT_VIOLATION,LOW,1.2,WORKING,,,,UNFASTENED,155,True
SE000049,2025-04-27 14:38:00,M0008,OP0011,T00044,ST008,SEATBELT_VIOLATION,LOW,2.7,DUMPING,,,,UNFASTENED,151,True
SE000050,2025-05-12 08:27:00,M0016,OP0006,T00045,ST006,SEATBELT_VIOLATION,LOW,4.4,TRAVELING,,,,UNFASTENED,145,True
SE000051,2025-09-28 08:56:00,M0037,OP0021,T00046,ST005,HARSH_BRAKING,LOW,8.9,TRAVELING,,,,FASTENED,8,True
SE000052,2025-01-08 13:38:00,M0035,OP0037,T00047,ST013,SEATBELT_VIOLATION,MEDIUM,13.3,TRAVELING,,,,UNFASTENED,159,True
SE000053,2025-05-28 17:00:00,M0023,OP0012,T00048,ST009,OBSTACLE_PROXIMITY,LOW,0.6,LOADING,,,5.5,FASTENED,33,True
SE000054,2025-05-28 17:09:00,M0023,OP0012,T00048,ST009,SEATBELT_VIOLATION,HIGH,1.7,WORKING,,,,UNFASTENED,71,False
SE000055,2025-05-28 18:39:00,M0023,OP0012,T00048,ST009,OVERSPEED,HIGH,28.7,TRAVELING,,,,FASTENED,22,True
SE000056,2025-08-22 09:31:00,M0032,OP0037,T00050,ST008,SEATBELT_VIOLATION,LOW,2.9,WORKING,,,,UNFASTENED,109,True
SE000057,2025-08-22 09:48:00,M0032,OP0037,T00050,ST008,SEATBELT_VIOLATION,HIGH,9.1,TRAVELING,,,,UNFASTENED,92,False
SE000058,2025-08-22 11:17:00,M0032,OP0037,T00050,ST008,SEATBELT_VIOLATION,LOW,0.5,WORKING,,,,UNFASTENED,162,True
SE000059,2025-08-09 17:16:00,M0014,OP0041,T00051,ST013,SEATBELT_VIOLATION,MEDIUM,32.3,TRAVELING,,,,UNFASTENED,51,False
SE000060,2025-04-11 10:15:00,M0032,OP0041,T00053,ST008,PERSON_PROXIMITY,LOW,8.2,TRAVELING,5.2,,,FASTENED,40,True
SE000061,2025-04-11 13:02:00,M0032,OP0041,T00053,ST008,SEATBELT_VIOLATION,LOW,0.2,DUMPING,,,,UNFASTENED,165,True
SE000062,2025-04-11 13:07:00,M0032,OP0041,T00053,ST008,VEHICLE_PROXIMITY,MEDIUM,0.9,DUMPING,,4.5,,FASTENED,56,True
SE000063,2025-03-29 09:48:00,M0019,OP0045,T00055,ST002,SEATBELT_VIOLATION,LOW,0.6,DUMPING,,,,UNFASTENED,72,False
SE000064,2025-03-29 10:50:00,M0019,OP0045,T00055,ST002,SEATBELT_VIOLATION,LOW,1.4,LOADING,,,,UNFASTENED,99,True
SE000065,2025-03-29 11:38:00,M0019,OP0045,T00055,ST002,SEATBELT_VIOLATION,LOW,1.5,TRAVELING,,,,UNFASTENED,128,True
SE000066,2025-03-29 13:09:00,M0019,OP0045,T00055,ST002,SEATBELT_VIOLATION,LOW,1.5,LOADING,,,,UNFASTENED,161,True
SE000067,2025-03-29 13:13:00,M0019,OP0045,T00055,ST002,SEATBELT_VIOLATION,LOW,1.8,DIGGING,,,,UNFASTENED,120,True
SE000068,2025-01-14 08:28:00,M0006,OP0029,T00056,ST010,PERSON_PROXIMITY,LOW,2.3,LOADING,8.4,,,FASTENED,36,True
SE000069,2025-01-14 10:06:00,M0006,OP0029,T00056,ST010,SEATBELT_VIOLATION,MEDIUM,2.6,REVERSING,,,,UNFASTENED,92,True
SE000070,2025-01-14 11:16:00,M0006,OP0029,T00056,ST010,OBSTACLE_PROXIMITY,MEDIUM,0.3,DUMPING,,,3.3,FASTENED,51,True
SE000071,2025-01-14 11:22:00,M0006,OP0029,T00056,ST010,SEATBELT_VIOLATION,LOW,2.6,DUMPING,,,,UNFASTENED,38,True
SE000072,2025-06-11 14:42:00,M0016,OP0052,T00059,ST006,SEATBELT_VIOLATION,HIGH,2.0,WORKING,,,,UNFASTENED,124,True
SE000073,2025-06-11 15:15:00,M0016,OP0052,T00059,ST006,OBSTACLE_PROXIMITY,LOW,1.5,WORKING,,,6.6,FASTENED,54,True
SE000074,2025-06-11 15:16:00,M0016,OP0052,T00059,ST006,SEATBELT_VIOLATION,MEDIUM,9.8,TRAVELING,,,,UNFASTENED,154,True
SE000075,2025-03-10 08:45:00,M0022,OP0042,T00060,ST002,PERSON_PROXIMITY,MEDIUM,22.1,TRAVELING,4.7,,,FASTENED,17,True
SE000076,2025-02-12 10:16:00,M0030,OP0030,T00062,ST009,SEATBELT_VIOLATION,MEDIUM,1.3,DIGGING,,,,UNFASTENED,172,True
SE000077,2025-08-30 12:37:00,M0023,OP0007,T00063,ST009,UNSAFE_REVERSING,LOW,3.7,REVERSING,,,,FASTENED,9,True
SE000078,2025-08-30 14:54:00,M0023,OP0007,T00063,ST009,PERSON_PROXIMITY,HIGH,2.2,WORKING,1.2,,,FASTENED,29,True
SE000079,2025-08-22 08:50:00,M0030,OP0007,T00066,ST009,PERSON_PROXIMITY,HIGH,0.3,DIGGING,1.4,,,FASTENED,18,True
SE000080,2025-02-10 15:09:00,M0018,OP0008,T00071,ST014,OBSTACLE_PROXIMITY,MEDIUM,5.1,TRAVELING,,,3.6,FASTENED,24,True
SE000081,2025-01-20 12:04:00,M0017,OP0038,T00074,ST015,SEATBELT_VIOLATION,LOW,0.1,WORKING,,,,UNFASTENED,146,True
SE000082,2025-01-20 13:01:00,M0017,OP0038,T00074,ST015,SEATBELT_VIOLATION,LOW,0.8,WORKING,,,,UNFASTENED,42,True
SE000083,2025-01-20 13:13:00,M0017,OP0038,T00074,ST015,SEATBELT_VIOLATION,LOW,1.6,WORKING,,,,UNFASTENED,139,False
SE000084,2025-01-20 13:46:00,M0017,OP0038,T00074,ST015,SEATBELT_VIOLATION,MEDIUM,16.8,TRAVELING,,,,UNFASTENED,48,True
SE000085,2025-01-20 13:52:00,M0017,OP0038,T00074,ST015,SEATBELT_VIOLATION,LOW,10.7,TRAVELING,,,,UNFASTENED,139,True
SE000086,2025-04-09 12:52:00,M0005,OP0001,T00078,ST003,OBSTACLE_PROXIMITY,HIGH,1.6,DUMPING,,,1.9,FASTENED,31,True
SE000087,2025-04-09 15:25:00,M0005,OP0001,T00078,ST003,SEATBELT_VIOLATION,MEDIUM,4.7,REVERSING,,,,UNFASTENED,15,False
SE000088,2025-04-01 16:57:00,M0033,OP0025,T00081,ST001,PERSON_PROXIMITY,LOW,3.7,REVERSING,6.1,,,FASTENED,58,True
SE000089,2025-04-03 11:32:00,M0032,OP0054,T00083,ST008,PERSON_PROXIMITY,HIGH,2.4,WORKING,2.2,,,FASTENED,12,True
SE000090,2025-04-03 11:57:00,M0032,OP0054,T00083,ST008,PERSON_PROXIMITY,MEDIUM,8.5,TRAVELING,2.7,,,FASTENED,8,True
SE000091,2025-01-28 14:26:00,M0014,OP0013,T00085,ST013,OBSTACLE_PROXIMITY,LOW,0.5,LOADING,,,6.3,FASTENED,52,True
SE000092,2025-01-28 14:33:00,M0014,OP0013,T00085,ST013,HARSH_BRAKING,LOW,29.7,TRAVELING,,,,FASTENED,6,True
SE000093,2025-03-07 11:02:00,M0003,OP0036,T00087,ST013,SEATBELT_VIOLATION,MEDIUM,2.9,DUMPING,,,,UNFASTENED,109,False
SE000094,2025-02-14 12:09:00,M0031,OP0015,T00088,ST002,SEATBELT_VIOLATION,HIGH,0.6,LOADING,,,,UNFASTENED,142,True
SE000095,2025-02-07 13:33:00,M0004,OP0043,T00090,ST007,HARSH_BRAKING,LOW,13.5,TRAVELING,,,,FASTENED,9,True
SE000096,2025-01-22 09:33:00,M0017,OP0015,T00091,ST015,SEATBELT_VIOLATION,MEDIUM,0.4,WORKING,,,,UNFASTENED,87,False
SE000097,2025-01-22 09:44:00,M0017,OP0015,T00091,ST015,SEATBELT_VIOLATION,LOW,2.2,WORKING,,,,UNFASTENED,19,True
SE000098,2025-01-22 10:08:00,M0017,OP0015,T00091,ST015,SEATBELT_VIOLATION,MEDIUM,8.7,TRAVELING,,,,UNFASTENED,11,True
SE000099,2025-07-19 06:08:00,M0012,OP0044,T00093,ST002,VEHICLE_PROXIMITY,MEDIUM,1.0,TRAVELING,,3.2,,FASTENED,34,True
SE000100,2025-05-06 16:45:00,M0038,OP0007,T00094,ST004,SEATBELT_VIOLATION,LOW,4.4,TRAVELING,,,,UNFASTENED,166,False
SE000101,2025-05-06 18:58:00,M0038,OP0007,T00094,ST004,OBSTACLE_PROXIMITY,MEDIUM,4.4,TRAVELING,,,2.6,FASTENED,37,True
SE000102,2025-06-20 16:42:00,M0036,OP0010,T00097,ST006,VEHICLE_PROXIMITY,MEDIUM,6.8,TRAVELING,,4.4,,FASTENED,20,True
SE000103,2025-06-07 07:48:00,M0003,OP0031,T00098,ST013,VEHICLE_PROXIMITY,LOW,4.2,REVERSING,,7.3,,FASTENED,25,True
SE000104,2025-07-29 09:05:00,M0040,OP0014,T00099,ST002,SEATBELT_VIOLATION,MEDIUM,2.1,WORKING,,,,UNFASTENED,135,True
SE000105,2025-07-29 12:01:00,M0040,OP0014,T00099,ST002,SEATBELT_VIOLATION,MEDIUM,7.2,TRAVELING,,,,UNFASTENED,158,True
SE000106,2025-07-06 12:36:00,M0033,OP0009,T00101,ST001,SEATBELT_VIOLATION,MEDIUM,0.1,WORKING,,,,UNFASTENED,92,True
SE000107,2025-05-11 13:23:00,M0010,OP0015,T00103,ST012,SEATBELT_VIOLATION,LOW,39.9,TRAVELING,,,,UNFASTENED,18,False
SE000108,2025-02-21 07:32:00,M0015,OP0045,T00106,ST001,VEHICLE_PROXIMITY,HIGH,1.6,LOADING,,1.6,,FASTENED,36,True
SE000109,2025-08-31 16:12:00,M0003,OP0038,T00108,ST013,SEATBELT_VIOLATION,MEDIUM,8.6,TRAVELING,,,,UNFASTENED,162,True
SE000110,2025-04-13 16:23:00,M0011,OP0034,T00111,ST003,OBSTACLE_PROXIMITY,LOW,0.6,DIGGING,,,7.4,FASTENED,10,True
SE000111,2025-02-28 12:56:00,M0038,OP0007,T00112,ST004,PERSON_PROXIMITY,LOW,8.2,TRAVELING,6.2,,,FASTENED,10,True
SE000112,2025-02-28 13:29:00,M0038,OP0007,T00112,ST004,SEATBELT_VIOLATION,LOW,1.2,REVERSING,,,,UNFASTENED,63,True
SE000113,2025-02-28 14:05:00,M0038,OP0007,T00112,ST004,VEHICLE_PROXIMITY,LOW,0.1,WORKING,,5.1,,FASTENED,10,True
SE000114,2025-02-28 15:39:00,M0038,OP0007,T00112,ST004,SEATBELT_VIOLATION,MEDIUM,2.4,REVERSING,,,,UNFASTENED,76,True
SE000115,2025-02-28 16:47:00,M0038,OP0007,T00112,ST004,VEHICLE_PROXIMITY,MEDIUM,0.5,WORKING,,3.9,,FASTENED,43,True
SE000116,2025-02-28 16:54:00,M0038,OP0007,T00112,ST004,HARSH_BRAKING,LOW,7.4,TRAVELING,,,,FASTENED,2,True
SE000117,2025-07-06 12:58:00,M0009,OP0033,T00114,ST004,VEHICLE_PROXIMITY,LOW,0.5,DIGGING,,8.8,,FASTENED,25,True
SE000118,2025-07-06 14:11:00,M0009,OP0033,T00114,ST004,SEATBELT_VIOLATION,MEDIUM,1.3,WORKING,,,,UNFASTENED,106,True
SE000119,2025-07-06 14:26:00,M0009,OP0033,T00114,ST004,VEHICLE_PROXIMITY,LOW,2.4,DIGGING,,6.9,,FASTENED,18,True
SE000120,2025-02-10 10:16:00,M0018,OP0013,T00115,ST014,PERSON_PROXIMITY,HIGH,1.9,DIGGING,1.5,,,FASTENED,43,True
SE000121,2025-07-10 10:51:00,M0011,OP0010,T00117,ST003,VEHICLE_PROXIMITY,MEDIUM,0.7,LOADING,,4.2,,FASTENED,17,True
SE000122,2025-07-10 12:01:00,M0011,OP0010,T00117,ST003,PERSON_PROXIMITY,HIGH,0.3,LOADING,2.1,,,FASTENED,44,True
SE000123,2025-03-20 07:28:00,M0022,OP0034,T00121,ST002,SEATBELT_VIOLATION,HIGH,2.5,DUMPING,,,,UNFASTENED,138,False
SE000124,2025-05-03 07:47:00,M0001,OP0020,T00122,ST007,PERSON_PROXIMITY,LOW,0.8,REVERSING,5.5,,,FASTENED,49,True
SE000125,2025-05-03 08:54:00,M0001,OP0020,T00122,ST007,SEATBELT_VIOLATION,LOW,2.8,DIGGING,,,,UNFASTENED,32,True
SE000126,2025-08-29 10:05:00,M0019,OP0029,T00123,ST002,OBSTACLE_PROXIMITY,LOW,1.9,WORKING,,,6.0,FASTENED,25,True
SE000127,2025-08-29 10:53:00,M0019,OP0029,T00123,ST002,OBSTACLE_PROXIMITY,MEDIUM,0.1,DIGGING,,,5.0,FASTENED,37,True
SE000128,2025-08-29 12:11:00,M0019,OP0029,T00123,ST002,PERSON_PROXIMITY,HIGH,16.9,TRAVELING,2.4,,,FASTENED,34,True
SE000129,2025-08-29 12:37:00,M0019,OP0029,T00123,ST002,VEHICLE_PROXIMITY,LOW,1.0,TRAVELING,,5.6,,FASTENED,37,True
SE000130,2025-08-29 13:24:00,M0019,OP0029,T00123,ST002,SEATBELT_VIOLATION,HIGH,2.1,DIGGING,,,,UNFASTENED,152,True
SE000131,2025-09-29 12:25:00,M0027,OP0008,T00124,ST015,SEATBELT_VIOLATION,HIGH,1.9,LOADING,,,,UNFASTENED,29,True
SE000132,2025-02-12 12:00:00,M0016,OP0032,T00126,ST006,SEATBELT_VIOLATION,HIGH,10.4,TRAVELING,,,,UNFASTENED,37,False
SE000133,2025-04-09 10:15:00,M0025,OP0024,T00131,ST011,PERSON_PROXIMITY,HIGH,0.1,DUMPING,0.9,,,FASTENED,52,True
SE000134,2025-04-09 11:34:00,M0025,OP0024,T00131,ST011,SEATBELT_VIOLATION,LOW,1.8,LOADING,,,,UNFASTENED,85,True
SE000135,2025-03-31 13:05:00,M0036,OP0031,T00132,ST006,HARSH_BRAKING,LOW,3.4,REVERSING,,,,FASTENED,8,True
SE000136,2025-03-31 13:07:00,M0036,OP0031,T00132,ST006,SEATBELT_VIOLATION,LOW,5.5,REVERSING,,,,UNFASTENED,136,True
SE000137,2025-03-31 13:27:00,M0036,OP0031,T00132,ST006,SEATBELT_VIOLATION,HIGH,11.0,TRAVELING,,,,UNFASTENED,176,True
SE000138,2025-04-07 12:41:00,M0036,OP0036,T00136,ST006,SEATBELT_VIOLATION,LOW,7.7,TRAVELING,,,,UNFASTENED,94,True
SE000139,2025-04-07 13:25:00,M0036,OP0036,T00136,ST006,SEATBELT_VIOLATION,LOW,2.8,WORKING,,,,UNFASTENED,164,True
SE000140,2025-02-04 14:15:00,M0012,OP0048,T00137,ST002,OBSTACLE_PROXIMITY,MEDIUM,30.5,TRAVELING,,,2.6,FASTENED,18,True
SE000141,2025-05-14 08:16:00,M0014,OP0040,T00138,ST013,OVERSPEED,MEDIUM,51.0,TRAVELING,,,,FASTENED,14,True
SE000142,2025-01-20 16:19:00,M0004,OP0034,T00139,ST007,SEATBELT_VIOLATION,MEDIUM,1.6,WORKING,,,,UNFASTENED,114,True
SE000143,2025-01-20 17:51:00,M0004,OP0034,T00139,ST007,SEATBELT_VIOLATION,HIGH,0.5,REVERSING,,,,UNFASTENED,178,True
SE000144,2025-01-20 18:11:00,M0004,OP0034,T00139,ST007,VEHICLE_PROXIMITY,HIGH,0.4,WORKING,,1.0,,FASTENED,4,True
SE000145,2025-04-27 14:03:00,M0036,OP0048,T00141,ST006,PERSON_PROXIMITY,MEDIUM,0.0,WORKING,2.7,,,FASTENED,22,True
SE000146,2025-03-07 10:18:00,M0027,OP0044,T00142,ST015,PERSON_PROXIMITY,HIGH,0.1,DIGGING,1.3,,,FASTENED,19,True
SE000147,2025-03-07 12:58:00,M0027,OP0044,T00142,ST015,SEATBELT_VIOLATION,LOW,1.2,WORKING,,,,UNFASTENED,94,True
SE000148,2025-06-03 08:51:00,M0037,OP0006,T00143,ST005,SEATBELT_VIOLATION,HIGH,1.0,WORKING,,,,UNFASTENED,176,True
SE000149,2025-06-03 08:56:00,M0037,OP0006,T00143,ST005,SEATBELT_VIOLATION,LOW,0.6,WORKING,,,,UNFASTENED,108,True
SE000150,2025-06-03 09:15:00,M0037,OP0006,T00143,ST005,OVERSPEED,HIGH,15.6,TRAVELING,,,,FASTENED,25,False
SE000151,2025-05-18 16:05:00,M0007,OP0005,T00144,ST012,SEATBELT_VIOLATION,MEDIUM,1.3,WORKING,,,,UNFASTENED,38,False
SE000152,2025-05-18 18:10:00,M0007,OP0005,T00144,ST012,PERSON_PROXIMITY,LOW,1.9,WORKING,7.1,,,FASTENED,39,True
SE000153,2025-09-10 09:54:00,M0012,OP0032,T00147,ST002,SEATBELT_VIOLATION,LOW,0.5,WORKING,,,,UNFASTENED,147,True
SE000154,2025-06-28 08:34:00,M0013,OP0012,T00148,ST007,SEATBELT_VIOLATION,LOW,1.4,DIGGING,,,,UNFASTENED,35,True
SE000155,2025-03-17 17:19:00,M0001,OP0026,T00149,ST007,SEATBELT_VIOLATION,MEDIUM,2.3,DIGGING,,,,UNFASTENED,87,False
SE000156,2025-02-22 06:07:00,M0022,OP0020,T00150,ST002,SEATBELT_VIOLATION,HIGH,0.6,LOADING,,,,UNFASTENED,13,False
SE000157,2025-02-22 06:44:00,M0022,OP0020,T00150,ST002,HARSH_BRAKING,LOW,21.5,TRAVELING,,,,FASTENED,8,True
SE000158,2025-02-22 08:02:00,M0022,OP0020,T00150,ST002,SEATBELT_VIOLATION,MEDIUM,30.8,TRAVELING,,,,UNFASTENED,18,False
SE000159,2025-02-22 09:04:00,M0022,OP0020,T00150,ST002,SEATBELT_VIOLATION,MEDIUM,21.3,TRAVELING,,,,UNFASTENED,171,True
SE000160,2025-06-11 11:11:00,M0010,OP0037,T00152,ST012,SEATBELT_VIOLATION,MEDIUM,2.7,LOADING,,,,UNFASTENED,56,True
SE000161,2025-06-11 12:02:00,M0010,OP0037,T00152,ST012,SEATBELT_VIOLATION,MEDIUM,23.3,TRAVELING,,,,UNFASTENED,148,True
SE000162,2025-06-11 12:39:00,M0010,OP0037,T00152,ST012,SEATBELT_VIOLATION,MEDIUM,14.2,TRAVELING,,,,UNFASTENED,26,False
SE000163,2025-02-19 12:54:00,M0036,OP0048,T00153,ST006,OBSTACLE_PROXIMITY,MEDIUM,0.5,WORKING,,,4.7,FASTENED,44,True
SE000164,2025-02-19 13:00:00,M0036,OP0048,T00153,ST006,VEHICLE_PROXIMITY,MEDIUM,0.5,WORKING,,3.6,,FASTENED,37,True
SE000165,2025-04-04 17:56:00,M0030,OP0014,T00157,ST009,OBSTACLE_PROXIMITY,HIGH,2.0,LOADING,,,1.2,FASTENED,44,False
SE000166,2025-04-04 18:34:00,M0030,OP0014,T00157,ST009,SEATBELT_VIOLATION,LOW,2.5,LOADING,,,,UNFASTENED,121,True
SE000167,2025-09-03 14:52:00,M0006,OP0027,T00158,ST010,VEHICLE_PROXIMITY,LOW,8.3,TRAVELING,,5.2,,FASTENED,34,True
SE000168,2025-04-15 16:28:00,M0033,OP0020,T00159,ST001,SEATBELT_VIOLATION,LOW,15.6,TRAVELING,,,,UNFASTENED,26,False
SE000169,2025-04-15 18:32:00,M0033,OP0020,T00159,ST001,PERSON_PROXIMITY,MEDIUM,1.1,WORKING,3.6,,,FASTENED,40,True
SE000170,2025-02-17 15:31:00,M0017,OP0029,T00161,ST015,SEATBELT_VIOLATION,LOW,1.7,WORKING,,,,UNFASTENED,104,False
SE000171,2025-02-17 17:04:00,M0017,OP0029,T00161,ST015,HARSH_BRAKING,LOW,9.7,TRAVELING,,,,FASTENED,5,True
SE000172,2025-02-17 17:51:00,M0017,OP0029,T00161,ST015,PERSON_PROXIMITY,LOW,17.2,TRAVELING,7.8,,,FASTENED,5,False
SE000173,2025-06-25 17:32:00,M0015,OP0014,T00162,ST001,SEATBELT_VIOLATION,MEDIUM,1.6,DIGGING,,,,UNFASTENED,43,True
SE000174,2025-04-20 06:26:00,M0011,OP0014,T00163,ST003,SEATBELT_VIOLATION,LOW,17.1,TRAVELING,,,,UNFASTENED,35,True
