task_id,source_task_id,machine_type,machine_model,task_type,operator_skill_level,operator_experience_years,material_type,material_density,target_quantity,terrain_type,terrain_slope_percent,soil_moisture,weather_condition,temperature_c,rainfall_mm,visibility_m,distance_m,machine_age_years,idle_ratio,average_engine_load,average_rpm,estimated_duration_min,actual_duration_min
TH00022,,BACKHOE_LOADER,BL-220GC,Trenching,EXPERT,20.5,ROCK_FILL,2.2,46.0,UNEVEN,0.0,30.7,RAINY,18.4,9.9,1215.0,2002.0,3.0,0.171,24.2,1784.0,23.4,32.4
TH00023,,EXCAVATOR,EX-226D2,Trenching,EXPERT,15.9,GRAVEL,1.8,230.2,MOUNTAINOUS,14.0,3.0,WINDY,30.5,0.0,3910.0,1420.0,1.1,0.146,68.6,2090.0,116.2,164.0
TH00024,,EXCAVATOR,EX-950D2,Demolition,BEGINNER,1.5,CLAY,1.6,171.2,HILLY,13.3,13.5,SUNNY,26.4,0.0,6621.0,2953.0,3.2,0.248,81.1,1596.0,85.6,101.9
TH00025,,WHEEL_LOADER,WL-390D2,Material Loading,INTERMEDIATE,7.0,CRUSHED_STONE,1.7,1835.0,ROLLING,7.7,4.2,SUNNY,24.5,0.0,9072.0,2990.0,14.3,0.172,45.8,1373.0,442.9,492.1
TH00026,,EXCAVATOR,EX-336XE,Trenching,EXPERT,23.6,ASPHALT_MILLINGS,1.4,274.8,UNEVEN,6.8,5.2,CLOUDY,48.0,0.0,5984.0,249.0,4.7,0.181,74.3,1635.0,136.6,149.4
TH00027,,COMPACTOR,CP-950,Soil Compaction,EXPERT,19.9,CLAY,1.6,5871.1,ROLLING,1.8,3.0,CLOUDY,21.9,0.0,3850.0,1449.0,3.4,0.142,72.1,1810.0,183.8,207.9
TH00028,,WHEEL_LOADER,WL-336,Material Stockpiling,INTERMEDIATE,7.1,ASPHALT_MILLINGS,1.4,269.9,ROLLING,12.5,11.4,SUNNY,32.8,0.0,9961.0,3390.0,7.7,0.152,53.3,1503.0,55.4,127.6
TH00029,T00029,DOZER,DZ-986GC,Material Stockpiling,EXPERT,23.6,GRAVEL,1.8,2066.7,FLAT,0.7,7.7,SUNNY,34.0,0.0,4849.0,1060.0,12.0,0.163,23.2,1658.0,385.7,516.8
TH00030,,ARTICULATED_HAULER,AH-226D,Grading,INTERMEDIATE,7.6,SAND,1.5,3079.4,ROLLING,10.2,17.6,SUNNY,21.7,0.0,9519.0,950.0,2.4,0.197,8.7,1431.0,253.2,318.3
TH00031,,WHEEL_LOADER,WL-390D2,Trenching,INTERMEDIATE,4.4,ASPHALT_MILLINGS,1.4,268.9,ROLLING,4.6,7.9,CLOUDY,21.3,0.0,3439.0,2934.0,14.3,0.264,72.8,1945.0,270.9,358.3
TH00032,,ARTICULATED_HAULER,AH-226D,Hauling,INTERMEDIATE,7.0,ASPHALT_MILLINGS,1.4,627.2,ROLLING,6.8,13.3,SUNNY,23.5,0.0,5295.0,371.0,2.4,0.209,,1124.0,211.7,281.5
TH00033,T00033,WHEEL_LOADER,WL-390,Material Loading,INTERMEDIATE,6.7,GRAVEL,1.8,2139.3,UNEVEN,0.2,11.3,CLOUDY,17.4,0.0,8186.0,822.0,9.6,0.114,51.8,1311.0,486.5,675.0
TH00034,,DOZER,DZ-972,Soil Compaction,INTERMEDIATE,4.4,GRAVEL,1.8,2178.5,UNEVEN,3.0,9.6,SUNNY,35.2,0.0,9633.0,2333.0,2.3,0.235,8.0,1114.0,145.4,167.2
TH00035,,ARTICULATED_HAULER,AH-336,Hauling,BEGINNER,1.6,ASPHALT_MILLINGS,1.4,1502.3,UNEVEN,7.4,27.2,RAINY,24.6,5.3,678.0,185.0,8.5,0.226,43.3,2208.0,665.7,1226.0
TH00036,,MOTOR_GRADER,MG-986D2,Grading,INTERMEDIATE,5.0,SAND,1.5,831.1,HILLY,10.9,19.7,SUNNY,16.0,0.0,9975.0,310.0,11.1,0.01,83.9,1286.0,38.0,38.8
TH00037,,DOZER,DZ-349D,Road Preparation,INTERMEDIATE,5.0,ASPHALT_MILLINGS,1.4,1015.3,ROLLING,7.6,7.4,CLOUDY,21.7,0.0,4254.0,2471.0,10.1,0.101,41.6,1741.0,72.8,68.4
TH00038,,ARTICULATED_HAULER,AH-336,Hauling,BEGINNER,2.3,ROCK_FILL,2.2,741.9,UNEVEN,0.0,14.5,SUNNY,25.3,0.0,,1414.0,8.5,0.171,50.1,1740.0,334.1,519.3
TH00039,T00039,EXCAVATOR,EX-140GC,Trenching,EXPERT,20.5,ROCK_FILL,2.2,239.6,UNEVEN,0.0,17.6,SUNNY,19.2,0.0,5827.0,195.0,5.6,0.116,68.1,1368.0,119.9,112.7
TH00040,,WHEEL_LOADER,WL-336,Material Stockpiling,INTERMEDIATE,6.3,CRUSHED_STONE,1.7,637.0,ROLLING,8.0,5.8,SUNNY,22.9,0.0,7308.0,1724.0,7.7,0.167,43.0,1804.0,138.8,220.9
TH00041,T00041,MOTOR_GRADER,MG-220D2,Grading,EXPERT,14.9,SAND,1.5,2667.7,UNEVEN,0.8,36.4,RAINY,29.2,13.9,1433.0,256.0,1.2,0.025,69.8,1267.0,106.6,129.7
TH00042,,WHEEL_LOADER,WL-390,Material Stockpiling,EXPERT,17.3,CLAY,1.6,1450.6,UNEVEN,4.4,3.0,CLOUDY,28.2,0.0,8747.0,1105.0,9.6,0.166,73.3,1530.0,262.0,340.9
TH00043,,DOZER,DZ-950D,Earth Excavation,INTERMEDIATE,7.0,SAND,1.5,997.5,MOUNTAINOUS,15.4,11.1,SUNNY,19.0,0.0,7459.0,1997.0,1.6,0.191,,1318.0,507.2,624.0
TH00044,T00044,EXCAVATOR,EX-320GC,Grading,BEGINNER,0.8,GRAVEL,1.8,3149.8,MOUNTAINOUS,11.8,5.8,SUNNY,28.2,0.0,6182.0,2301.0,5.3,0.179,54.5,1493.0,335.9,429.6
TH00045,T00045,COMPACTOR,CP-986D2,Road Preparation,EXPERT,11.3,CRUSHED_STONE,1.7,3990.7,ROLLING,6.7,3.0,SUNNY,22.8,0.0,8767.0,685.0,8.3,0.1,71.2,1789.0,241.9,282.3
TH00046,,ARTICULATED_HAULER,AH-140D2,Road Preparation,BEGINNER,2.3,TOPSOIL,1.3,2512.4,ROLLING,0.0,19.1,SUNNY,33.8,0.0,6806.0,2215.0,7.4,0.117,27.3,1764.0,374.8,353.1
TH00047,T00047,MOTOR_GRADER,MG-220D2,Road Preparation,INTERMEDIATE,5.1,GRAVEL,1.8,1834.5,UNEVEN,0.8,9.7,SUNNY,28.7,0.0,9873.0,80.0,1.2,0.158,28.8,1925.0,136.2,160.5
TH00048,,ARTICULATED_HAULER,AH-120D2,Hauling,EXPERT,12.7,CLAY,1.6,2472.1,UNEVEN,1.8,6.4,SUNNY,30.4,0.0,5941.0,547.0,2.8,0.063,61.2,1518.0,721.4,694.1
TH00049,T00049,WHEEL_LOADER,WL-972XE,Hauling,BEGINNER,1.4,SAND,1.5,115.4,FLAT,0.7,13.1,CLOUDY,28.6,0.0,6371.0,132.0,14.4,0.237,72.1,953.0,112.2,137.1
TH00050,T00050,DOZER,DZ-950D,Demolition,INTERMEDIATE,5.1,ASPHALT_MILLINGS,1.4,757.8,MOUNTAINOUS,11.8,17.5,CLOUDY,20.4,0.0,7756.0,773.0,1.6,0.158,44.6,1532.0,291.5,373.4
TH00051,,DOZER,DZ-972,Material Stockpiling,EXPERT,12.7,ASPHALT_MILLINGS,1.4,296.0,UNEVEN,0.0,3.7,WINDY,35.1,0.0,8308.0,643.0,2.3,0.024,86.3,1346.0,52.9,44.7
TH00052,T00052,EXCAVATOR,EX-220XE,Trenching,INTERMEDIATE,5.5,CRUSHED_STONE,1.7,526.3,ROLLING,5.5,11.3,SUNNY,29.3,0.0,6128.0,1529.0,10.9,0.019,86.8,1747.0,303.3,290.4
TH00053,T00053,DOZER,DZ-950D,Grading,BEGINNER,0.5,CRUSHED_STONE,1.7,3198.0,MOUNTAINOUS,11.8,13.6,SUNNY,26.9,0.0,8727.0,183.0,1.6,0.305,37.2,1473.0,395.0,476.2
TH00054,,MOTOR_GRADER,MG-220D2,Grading,INTERMEDIATE,7.1,SAND,1.5,5365.1,UNEVEN,0.0,3.0,WINDY,14.8,0.0,6157.0,853.0,1.2,0.168,40.3,1259.0,249.0,283.7
TH00055,T00055,BACKHOE_LOADER,BL-986GC,Trenching,BEGINNER,1.8,SAND,1.5,301.9,ROLLING,8.1,6.9,CLOUDY,20.1,0.0,8322.0,2793.0,10.6,0.323,57.5,2215.0,231.2,273.5
TH00056,,EXCAVATOR,EX-220XE,Demolition,INTERMEDIATE,5.5,CLAY,1.6,95.4,ROLLING,2.0,42.0,RAINY,20.4,13.6,1281.0,2531.0,10.9,0.064,62.6,1841.0,37.6,56.7
TH00057,T00057,EXCAVATOR,EX-320GC,Demolition,INTERMEDIATE,4.4,ASPHALT_MILLINGS,1.4,1158.4,MOUNTAINOUS,11.8,19.1,WINDY,28.6,0.0,5572.0,123.0,5.3,0.166,52.9,1466.0,482.1,520.2
TH00058,,EXCAVATOR,EX-972,Material Loading,INTERMEDIATE,6.4,TOPSOIL,1.3,1394.5,UNEVEN,0.0,16.3,SUNNY,20.4,0.0,9173.0,1660.0,7.8,0.082,27.6,1165.0,327.8,302.4
TH00059,,MOTOR_GRADER,MG-220D2,Trenching,EXPERT,14.9,ASPHALT_MILLINGS,1.4,533.2,UNEVEN,0.0,53.3,STORM,25.8,22.3,172.0,2304.0,1.2,0.069,45.9,1504.0,539.9,1327.8
TH00060,,WHEEL_LOADER,WL-390,Material Loading,EXPERT,19.9,TOPSOIL,1.3,2069.2,UNEVEN,3.0,15.7,CLOUDY,26.0,0.0,8783.0,2134.0,9.6,0.082,61.9,1799.0,407.4,485.8
TH00061,T00061,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,5.8,TOPSOIL,1.3,585.3,UNEVEN,0.0,11.8,SUNNY,26.5,0.0,7958.0,1759.0,3.0,0.129,33.3,1696.0,341.0,270.9
TH00062,T00062,EXCAVATOR,EX-972,Earth Excavation,INTERMEDIATE,7.1,CRUSHED_STONE,1.7,495.0,UNEVEN,0.2,17.9,CLOUDY,30.7,0.0,7609.0,756.0,7.8,0.141,73.2,1578.0,142.9,154.0
TH00063,,WHEEL_LOADER,WL-336,Earth Excavation,INTERMEDIATE,7.6,ROCK_FILL,2.2,1214.4,ROLLING,7.6,36.2,RAINY,25.9,5.3,1743.0,1667.0,7.7,0.065,68.0,1637.0,592.4,896.7
TH00064,,EXCAVATOR,EX-140GC,Soil Compaction,INTERMEDIATE,7.6,ROCK_FILL,2.2,2438.0,UNEVEN,0.0,32.1,SUNNY,14.3,0.0,6447.0,2754.0,5.6,0.037,25.6,2400.0,204.7,202.0
TH00065,,WHEEL_LOADER,WL-140XE,Material Stockpiling,BEGINNER,0.6,ROCK_FILL,2.2,1982.8,UNEVEN,2.9,5.0,SUNNY,,0.0,6834.0,992.0,8.1,0.277,78.1,1594.0,546.7,762.8
TH00066,,ARTICULATED_HAULER,AH-120D2,Material Loading,INTERMEDIATE,4.6,TOPSOIL,1.3,188.4,UNEVEN,1.4,17.1,SUNNY,16.3,0.0,5574.0,2144.0,2.8,0.195,,2035.0,71.8,74.2
TH00067,,ARTICULATED_HAULER,AH-140D2,Grading,INTERMEDIATE,2.1,ASPHALT_MILLINGS,1.4,1871.4,ROLLING,5.4,8.3,FOG,27.0,0.5,263.0,221.0,7.4,0.131,63.0,1852.0,188.9,355.2
TH00068,,BACKHOE_LOADER,BL-986D,Soil Compaction,INTERMEDIATE,6.8,ROCK_FILL,2.2,2417.6,FLAT,5.5,61.8,STORM,15.7,26.6,168.0,2480.0,12.0,0.068,26.9,1653.0,140.5,436.3
TH00069,T00069,WHEEL_LOADER,WL-972XE,Earth Excavation,INTERMEDIATE,3.9,ROCK_FILL,2.2,1395.5,FLAT,0.7,33.5,RAINY,28.6,8.6,624.0,828.0,14.4,0.124,58.2,1903.0,682.1,1121.9
TH00070,,EXCAVATOR,EX-140GC,Material Loading,BEGINNER,1.6,ROCK_FILL,2.2,851.7,UNEVEN,0.0,3.3,CLOUDY,21.0,0.0,3727.0,1328.0,5.6,0.192,52.0,1823.0,264.3,300.1
TH00071,,WHEEL_LOADER,WL-390D2,Material Stockpiling,INTERMEDIATE,5.1,ROCK_FILL,2.2,1745.7,ROLLING,10.9,15.1,SUNNY,26.2,0.0,5440.0,623.0,14.3,0.182,51.1,2225.0,371.2,484.4
TH00072,,EXCAVATOR,EX-320GC,Trenching,BEGINNER,0.5,SAND,1.5,541.2,MOUNTAINOUS,8.3,9.1,SUNNY,23.5,0.0,7135.0,2038.0,5.3,0.193,57.6,1144.0,417.2,494.3
TH00073,T00073,EXCAVATOR,EX-140GC,Demolition,INTERMEDIATE,6.7,ASPHALT_MILLINGS,1.4,340.6,UNEVEN,0.0,4.4,SUNNY,28.4,0.0,7819.0,1694.0,5.6,0.114,34.9,1478.0,137.9,113.9
TH00074,,BACKHOE_LOADER,BL-220GC,Demolition,INTERMEDIATE,2.6,TOPSOIL,1.3,260.2,UNEVEN,0.0,13.8,CLOUDY,25.9,0.0,8413.0,1506.0,3.0,0.161,97.9,1810.0,183.2,180.7
TH00075,,ARTICULATED_HAULER,AH-349D,Hauling,INTERMEDIATE,2.7,GRAVEL,1.8,884.5,ROLLING,13.0,41.2,RAINY,28.6,8.1,929.0,3120.0,0.8,0.108,8.0,1295.0,331.0,898.8
TH00076,,DOZER,DZ-160GC,Material Stockpiling,INTERMEDIATE,7.1,CLAY,1.6,1940.4,MOUNTAINOUS,19.7,5.8,SUNNY,30.6,0.0,7072.0,2521.0,14.4,0.16,48.8,1882.0,396.2,885.2
TH00077,T00077,BACKHOE_LOADER,BL-986GC,Earth Excavation,EXPERT,18.2,GRAVEL,1.8,1207.3,ROLLING,8.1,12.7,WINDY,20.5,0.0,5752.0,3041.0,10.6,0.227,84.8,1746.0,648.5,829.8
TH00078,,BACKHOE_LOADER,BL-220GC,Trenching,BEGINNER,2.3,GRAVEL,1.8,258.1,UNEVEN,0.0,9.7,RAINY,24.9,3.6,1277.0,677.0,3.0,0.284,49.3,1617.0,187.7,355.5
TH00079,,BACKHOE_LOADER,BL-986GC,Trenching,BEGINNER,1.5,ROCK_FILL,2.2,592.1,MOUNTAINOUS,13.4,8.4,SUNNY,22.2,0.0,7971.0,1441.0,7.3,0.232,54.8,1266.0,460.0,707.0
TH00080,T00080,DOZER,DZ-972,Material Stockpiling,INTERMEDIATE,7.6,SAND,1.5,437.5,UNEVEN,0.8,90.7,STORM,32.6,32.4,314.0,1285.0,2.3,0.144,61.8,2400.0,89.3,382.7
TH00081,T00081,MOTOR_GRADER,MG-986D2,Demolition,INTERMEDIATE,4.6,GRAVEL,1.8,216.3,HILLY,12.2,16.0,WINDY,30.7,0.0,3042.0,381.0,11.1,0.178,73.7,2024.0,134.1,197.0
TH00082,,ARTICULATED_HAULER,AH-120D2,Hauling,INTERMEDIATE,6.8,TOPSOIL,1.3,1537.2,UNEVEN,1.2,16.4,FOG,22.1,0.5,,1925.0,2.8,0.048,93.0,2000.0,518.8,919.9
TH00083,,DOZER,DZ-950D,Road Preparation,EXPERT,14.9,ROCK_FILL,2.2,3356.8,MOUNTAINOUS,13.1,3.0,CLOUDY,24.5,0.0,3477.0,3149.0,1.6,0.058,36.1,1464.0,200.7,233.7
TH00084,T00084,MOTOR_GRADER,MG-220D2,Road Preparation,INTERMEDIATE,6.8,GRAVEL,1.8,3708.0,UNEVEN,0.8,16.5,SUNNY,20.7,0.0,7525.0,1257.0,1.2,0.036,59.5,1823.0,265.4,248.3
TH00085,,ARTICULATED_HAULER,AH-336,Hauling,INTERMEDIATE,3.6,GRAVEL,1.8,420.8,UNEVEN,7.0,11.1,SUNNY,25.4,0.0,5131.0,964.0,8.5,0.166,49.5,1430.0,151.5,179.4
TH00086,T00086,ARTICULATED_HAULER,AH-226D,Hauling,INTERMEDIATE,5.1,ROCK_FILL,2.2,142.6,ROLLING,8.1,11.0,CLOUDY,25.4,0.0,6006.0,474.0,2.4,0.061,35.1,1897.0,49.1,50.9
TH00087,,WHEEL_LOADER,WL-390D2,Material Loading,INTERMEDIATE,3.0,GRAVEL,1.8,2145.6,ROLLING,10.1,24.4,RAINY,24.4,10.1,1780.0,689.0,14.3,0.059,59.3,1559.0,547.4,847.6
TH00088,,MOTOR_GRADER,MG-160D,Earth Excavation,BEGINNER,0.8,CLAY,1.6,1068.7,UNEVEN,0.7,3.0,FOG,23.0,0.1,99.0,491.0,7.7,0.203,48.4,1301.0,818.4,1325.9
TH00089,,MOTOR_GRADER,MG-160D,Road Preparation,EXPERT,12.7,TOPSOIL,1.3,2806.6,UNEVEN,3.4,7.7,SUNNY,14.9,0.0,7894.0,1081.0,7.7,0.04,57.4,860.0,172.0,167.5
TH00090,,EXCAVATOR,EX-390D2,Material Loading,EXPERT,20.5,CLAY,1.6,2446.3,FLAT,3.1,15.5,CLOUDY,19.3,0.0,3819.0,2787.0,14.3,0.065,30.3,1700.0,499.5,538.4
TH00091,,WHEEL_LOADER,WL-972XE,Material Loading,EXPERT,17.3,CRUSHED_STONE,1.7,381.9,FLAT,7.8,3.0,SUNNY,26.5,0.0,6684.0,1138.0,14.4,0.254,35.4,1479.0,80.0,97.4
TH00092,,DOZER,DZ-950D,Material Stockpiling,INTERMEDIATE,7.0,SAND,1.5,382.9,MOUNTAINOUS,11.4,19.9,SUNNY,18.4,0.0,6155.0,96.0,1.6,0.166,31.2,1453.0,83.1,87.9
TH00093,T00093,ARTICULATED_HAULER,AH-349D,Hauling,INTERMEDIATE,2.1,CRUSHED_STONE,1.7,1165.0,ROLLING,8.1,18.1,RAINY,17.1,2.6,1892.0,2736.0,0.8,0.127,40.7,1834.0,432.0,934.5
TH00094,,EXCAVATOR,EX-226XE,Demolition,INTERMEDIATE,3.9,ASPHALT_MILLINGS,1.4,1393.3,FLAT,1.7,23.4,RAINY,19.1,2.4,1751.0,1415.0,13.8,0.055,47.0,1452.0,558.0,920.3
TH00095,T00095,DOZER,DZ-986D2,Material Stockpiling,INTERMEDIATE,7.1,ROCK_FILL,2.2,944.8,FLAT,2.7,11.7,WINDY,25.3,0.0,3078.0,1319.0,13.6,0.206,40.3,1846.0,202.2,316.1
TH00096,T00096,WHEEL_LOADER,WL-972XE,Material Stockpiling,INTERMEDIATE,3.9,GRAVEL,1.8,1717.5,FLAT,0.7,4.3,SUNNY,30.0,0.0,4949.0,2707.0,14.4,0.146,71.2,1739.0,371.4,597.6
TH00097,T00097,DOZER,DZ-349D,Material Stockpiling,INTERMEDIATE,5.5,CLAY,1.6,2166.7,ROLLING,6.7,11.3,CLOUDY,34.4,0.0,7987.0,838.0,10.1,0.125,63.1,1462.0,454.8,567.8
TH00098,T00098,DOZER,DZ-972,Demolition,INTERMEDIATE,6.8,TOPSOIL,1.3,1075.4,UNEVEN,0.8,14.9,CLOUDY,30.8,0.0,5895.0,716.0,2.3,0.043,87.1,2043.0,416.7,405.1
TH00099,T00099,WHEEL_LOADER,WL-390D2,Material Loading,EXPERT,23.6,ROCK_FILL,2.2,800.3,ROLLING,8.1,17.0,RAINY,29.4,2.7,1744.0,3253.0,14.3,0.181,35.3,1684.0,166.0,271.2
TH00100,T00100,EXCAVATOR,EX-972XE,Trenching,BEGINNER,0.8,ASPHALT_MILLINGS,1.4,164.7,FLAT,0.4,30.0,RAINY,26.9,10.1,923.0,3295.0,3.7,0.188,48.6,1442.0,123.1,214.2
TH00101,,COMPACTOR,CP-972D2,Soil Compaction,EXPERT,7.3,ASPHALT_MILLINGS,1.4,2813.8,MOUNTAINOUS,25.2,20.1,RAINY,23.5,6.4,1770.0,3214.0,4.2,0.053,31.5,1905.0,84.1,147.2
TH00102,,DOZER,DZ-349D,Material Stockpiling,INTERMEDIATE,6.8,GRAVEL,1.8,1208.9,ROLLING,9.7,36.8,SUNNY,13.2,0.0,5561.0,1425.0,10.1,0.067,62.1,1572.0,258.8,330.0
TH00103,,EXCAVATOR,EX-336XE,Material Stockpiling,BEGINNER,2.3,GRAVEL,1.8,1571.5,UNEVEN,5.1,16.7,FOG,,0.2,59.0,946.0,4.7,0.274,51.8,1711.0,939.2,2163.2
TH00104,T00104,EXCAVATOR,EX-950D2,Soil Compaction,BEGINNER,2.0,SAND,1.5,5277.2,HILLY,12.2,14.0,SUNNY,16.0,0.0,7224.0,773.0,3.2,0.201,28.2,1782.0,433.2,524.5
TH00105,,WHEEL_LOADER,WL-390D2,Material Stockpiling,INTERMEDIATE,3.9,SAND,1.5,1976.9,ROLLING,11.3,32.4,RAINY,22.9,12.9,1487.0,2064.0,14.3,0.137,81.7,2086.0,438.0,1042.0
TH00106,,EXCAVATOR,EX-320GC,Demolition,INTERMEDIATE,3.6,ASPHALT_MILLINGS,1.4,1089.1,MOUNTAINOUS,7.9,14.3,WINDY,13.9,0.0,6319.0,3029.0,5.3,0.226,69.2,1587.0,450.2,612.8
TH00107,T00107,WHEEL_LOADER,WL-336,Material Loading,BEGINNER,0.6,ASPHALT_MILLINGS,1.4,2040.1,ROLLING,8.1,12.7,CLOUDY,23.5,0.0,,1004.0,7.7,0.3,53.9,1706.0,622.4,836.9
TH00108,T00108,DOZER,DZ-972,Material Loading,INTERMEDIATE,4.4,CLAY,1.6,396.1,UNEVEN,0.8,14.9,WINDY,11.8,0.0,4353.0,1066.0,2.3,0.23,37.4,1745.0,181.1,183.3
TH00109,,WHEEL_LOADER,WL-336,Material Stockpiling,INTERMEDIATE,6.7,CLAY,1.6,1363.3,ROLLING,8.3,3.0,WINDY,14.3,0.0,4998.0,3290.0,7.7,0.068,59.4,1586.0,296.0,609.1
TH00110,T00110,WHEEL_LOADER,WL-390,Material Loading,INTERMEDIATE,5.0,TOPSOIL,1.3,1401.3,UNEVEN,0.2,6.6,SUNNY,22.5,0.0,6108.0,2548.0,9.6,0.049,32.1,1627.0,325.1,295.4
TH00111,,EXCAVATOR,EX-390D2,Demolition,BEGINNER,1.5,CLAY,1.6,647.7,FLAT,5.9,5.9,SUNNY,26.1,0.0,8194.0,921.0,14.3,0.23,41.5,1122.0,324.7,483.2
TH00112,T00112,DOZER,DZ-160GC,Soil Compaction,BEGINNER,0.5,CRUSHED_STONE,1.7,4410.4,MOUNTAINOUS,18.7,9.2,SUNNY,17.1,0.0,6138.0,2393.0,14.4,0.181,61.8,1299.0,389.8,538.9
