task_id,machine_id,operator_id,site_id,task_type,task_status,scheduled_start,scheduled_end,target_quantity,quantity_unit,estimated_duration_min,actual_duration_min,task_efficiency
T00014,M0008,OP0016,ST008,Trenching,IN_PROGRESS,2025-01-30 15:11:00,2025-01-30 16:33:06,108.6,m,82.1,76.2,
T00015,M0019,OP0053,ST002,Grading,CANCELLED,2025-03-27 12:04:00,2025-03-27 14:46:36,2024.8,m2,162.6,,
T00016,M0011,OP0052,ST003,Material Loading,CANCELLED,2025-03-14 14:28:00,2025-03-15 09:42:54,1744.9,tons,1154.9,,
T00017,M0023,OP0010,ST009,Material Stockpiling,COMPLETED,2025-01-02 13:38:00,2025-01-02 14:59:18,401.0,tons,81.3,149.7,0.543
T00018,M0006,OP0004,ST010,Grading,CANCELLED,2025-02-16 11:44:00,2025-02-16 15:23:42,2934.6,m2,219.7,,
T00019,M0038,OP0049,ST004,Material Stockpiling,DELAYED,2025-08-19 14:48:00,2025-08-19 15:17:18,132.1,tons,29.3,51.5,
T00020,M0008,OP0027,ST008,Earth Excavation,COMPLETED,2025-05-20 13:57:00,2025-05-20 17:45:42,621.0,m3,228.7,290.8,0.786
T00021,M0035,OP0038,ST013,Grading,COMPLETED,2025-04-24 09:48:00,2025-04-24 11:37:00,2250.3,m2,109.0,104.3,1.045
T00022,M0026,OP0039,ST015,Earth Excavation,CANCELLED,2025-02-09 07:04:00,2025-02-09 08:29:42,134.6,m3,85.7,,
T00023,M0038,OP0022,ST004,Demolition,IN_PROGRESS,2025-01-30 15:47:00,2025-01-30 22:38:30,1057.5,m3,411.5,225.1,
T00024,M0021,OP0048,ST014,Soil Compaction,COMPLETED,2025-06-25 13:56:00,2025-06-25 18:50:06,3621.7,m2,294.1,485.3,0.606
T00025,M0023,OP0030,ST009,Material Stockpiling,COMPLETED,2025-04-08 13:35:00,2025-04-08 21:13:54,2167.9,tons,458.9,602.5,0.762
T00026,M0001,OP0018,ST007,Hauling,DELAYED,2025-07-23 14:57:00,2025-07-23 22:35:48,685.2,tons,458.8,600.7,
T00027,M0035,OP0043,ST013,Road Preparation,IN_PROGRESS,2025-06-17 10:08:00,2025-06-17 14:22:24,4024.7,m2,254.4,99.2,
T00028,M0041,OP0055,ST008,Trenching,COMPLETED,2025-09-09 15:33:00,2025-09-09 20:14:42,478.7,m,281.7,813.5,0.346
T00029,M0042,OP0014,ST011,Material Stockpiling,DELAYED,2025-04-14 11:17:00,2025-04-14 16:28:54,1678.0,tons,311.9,372.5,
T00030,M0014,OP0045,ST013,Hauling,DELAYED,2025-09-09 09:28:00,2025-09-09 23:18:42,1899.0,tons,830.7,1178.9,
T00031,M0022,OP0046,ST002,Material Stockpiling,CANCELLED,2025-07-22 09:54:00,2025-07-23 05:41:18,2014.0,tons,1187.3,,
T00032,M0028,OP0010,ST012,Trenching,COMPLETED,2025-06-15 07:19:00,2025-06-15 12:27:30,528.1,m,308.5,330.9,0.932
T00033,M0023,OP0039,ST009,Material Loading,COMPLETED,2025-05-10 10:33:00,2025-05-10 15:30:42,1301.5,tons,297.7,323.9,0.919
T00034,M0028,OP0018,ST012,Trenching,COMPLETED,2025-06-11 12:46:00,2025-06-11 13:56:00,118.1,m,70.0,73.4,0.954
T00035,M0015,OP0041,ST001,Demolition,CANCELLED,2025-02-19 14:52:00,2025-02-20 00:32:06,1098.7,m3,580.1,,
T00036,M0015,OP0003,ST001,Trenching,COMPLETED,2025-04-28 14:31:00,2025-04-28 15:29:18,99.8,m,58.3,73.3,0.795
T00037,M0006,OP0027,ST010,Demolition,IN_PROGRESS,2025-04-02 09:19:00,2025-04-02 11:21:18,133.0,m3,122.3,35.4,
T00038,M0030,OP0007,ST009,Material Loading,DELAYED,2025-02-14 13:49:00,2025-02-15 00:55:30,2122.3,tons,666.5,656.3,
T00039,M0001,OP0033,ST007,Trenching,IN_PROGRESS,2025-03-31 10:50:00,2025-03-31 15:31:18,549.8,m,281.3,130.4,
T00040,M0039,OP0042,ST003,Material Loading,CANCELLED,2025-01-29 12:11:00,2025-01-29 20:26:00,2039.6,tons,495.0,,
T00041,M0035,OP0035,ST013,Grading,COMPLETED,2025-06-10 14:53:00,2025-06-10 17:53:12,4290.7,m2,180.2,221.2,0.815
T00042,M0029,OP0052,ST010,Road Preparation,COMPLETED,2025-09-14 11:58:00,2025-09-14 20:53:30,5775.9,m2,535.5,644.7,0.831
T00043,M0021,OP0007,ST014,Road Preparation,COMPLETED,2025-02-19 07:43:00,2025-02-19 14:04:00,3858.5,m2,381.0,419.2,0.909
T00044,M0008,OP0011,ST008,Grading,COMPLETED,2025-04-27 12:42:00,2025-04-27 14:47:00,1258.2,m2,125.0,140.7,0.888
T00045,M0016,OP0006,ST006,Road Preparation,IN_PROGRESS,2025-05-12 08:15:00,2025-05-12 12:09:42,3674.3,m2,234.7,116.8,
T00046,M0037,OP0021,ST005,Grading,COMPLETED,2025-09-28 07:02:00,2025-09-28 14:04:42,3969.8,m2,422.7,724.8,0.583
T00047,M0035,OP0037,ST013,Road Preparation,COMPLETED,2025-01-08 13:12:00,2025-01-08 13:36:12,343.1,m2,24.2,27.0,0.896
T00048,M0023,OP0012,ST009,Material Loading,COMPLETED,2025-05-28 14:42:00,2025-05-28 16:58:54,582.9,tons,136.9,403.7,0.339
T00049,M0025,OP0029,ST011,Hauling,CANCELLED,2025-08-25 12:35:00,2025-08-25 22:35:00,765.7,tons,600.0,,
T00050,M0032,OP0037,ST008,Demolition,DELAYED,2025-08-22 08:14:00,2025-08-22 16:51:06,1352.4,m3,517.1,655.1,
T00051,M0014,OP0041,ST013,Grading,COMPLETED,2025-08-09 15:47:00,2025-08-09 18:41:00,1235.2,m2,174.0,198.5,0.877
T00052,M0028,OP0010,ST012,Trenching,COMPLETED,2025-01-04 10:42:00,2025-01-04 11:31:06,87.4,m,49.1,51.0,0.963
T00053,M0032,OP0041,ST008,Grading,COMPLETED,2025-04-11 09:43:00,2025-04-11 15:30:36,2421.5,m2,347.6,496.0,0.701
T00054,M0006,OP0035,ST010,Trenching,COMPLETED,2025-08-11 15:35:00,2025-08-11 17:11:54,191.6,m,96.9,107.0,0.906
T00055,M0019,OP0045,ST002,Trenching,COMPLETED,2025-03-29 09:44:00,2025-03-29 14:04:18,347.1,m,260.3,359.5,0.724
T00056,M0006,OP0029,ST010,Trenching,COMPLETED,2025-01-14 08:12:00,2025-01-14 13:51:48,436.2,m,339.8,571.9,0.594
T00057,M0008,OP0038,ST008,Demolition,COMPLETED,2025-09-05 10:48:00,2025-09-05 12:23:42,243.1,m3,95.7,122.3,0.783
T00058,M0024,OP0030,ST004,Material Stockpiling,DELAYED,2025-01-11 10:53:00,2025-01-11 12:00:54,327.5,tons,67.9,111.1,
T00059,M0016,OP0052,ST006,Road Preparation,COMPLETED,2025-06-11 14:27:00,2025-06-11 18:28:48,2657.0,m2,241.8,271.6,0.89
T00060,M0022,OP0042,ST002,Hauling,COMPLETED,2025-03-10 06:12:00,2025-03-10 18:40:36,2039.7,tons,748.6,1194.4,0.627
T00061,M0013,OP0017,ST007,Trenching,CANCELLED,2025-07-08 09:13:00,2025-07-08 13:25:48,444.1,m,252.8,,
T00062,M0030,OP0030,ST009,Earth Excavation,DELAYED,2025-02-12 08:27:00,2025-02-12 12:28:54,855.3,m3,241.9,269.8,
T00063,M0023,OP0007,ST009,Material Stockpiling,COMPLETED,2025-08-30 12:25:00,2025-08-30 16:01:42,738.5,tons,216.7,260.3,0.833
T00064,M0036,OP0042,ST006,Material Stockpiling,DELAYED,2025-02-03 13:27:00,2025-02-03 20:38:54,1897.6,tons,431.9,575.9,
T00065,M0017,OP0010,ST015,Grading,COMPLETED,2025-06-07 10:15:00,2025-06-07 11:10:12,1207.3,m2,55.2,65.1,0.848
T00066,M0030,OP0007,ST009,Material Loading,COMPLETED,2025-08-22 06:47:00,2025-08-22 17:29:18,2007.2,tons,642.3,733.5,0.876
T00067,M0015,OP0036,ST001,Trenching,SCHEDULED,2025-02-17 13:58:00,2025-02-17 17:57:42,415.7,m,239.7,,
T00068,M0014,OP0016,ST013,Hauling,SCHEDULED,2025-05-01 15:07:00,2025-05-02 00:24:06,1230.8,tons,557.1,,
T00069,M0025,OP0012,ST011,Earth Excavation,CANCELLED,2025-04-08 08:26:00,2025-04-08 22:31:18,1385.4,m3,845.3,,
T00070,M0030,OP0043,ST009,Earth Excavation,CANCELLED,2025-06-22 07:36:00,2025-06-22 12:11:30,1082.5,m3,275.5,,
T00071,M0018,OP0008,ST014,Trenching,COMPLETED,2025-02-10 14:17:00,2025-02-10 20:00:00,450.4,m,343.0,416.7,0.823
T00072,M0027,OP0032,ST015,Demolition,IN_PROGRESS,2025-08-04 11:24:00,2025-08-04 18:47:54,1283.5,m3,443.9,116.8,
T00073,M0001,OP0039,ST007,Demolition,CANCELLED,2025-03-22 11:49:00,2025-03-22 17:46:36,936.2,m3,357.6,,
T00074,M0017,OP0038,ST015,Road Preparation,COMPLETED,2025-01-20 11:01:00,2025-01-20 16:44:36,4709.0,m2,343.6,389.2,0.883
T00075,M0029,OP0026,ST010,Road Preparation,COMPLETED,2025-03-15 12:57:00,2025-03-15 13:36:24,506.7,m2,39.4,42.4,0.929
T00076,M0008,OP0014,ST008,Material Loading,IN_PROGRESS,2025-05-01 12:00:00,2025-05-01 17:06:12,1463.2,tons,306.2,90.8,
T00077,M0019,OP0024,ST002,Earth Excavation,SCHEDULED,2025-07-07 10:33:00,2025-07-07 21:05:06,1281.1,m3,632.1,,
T00078,M0005,OP0001,ST003,Hauling,COMPLETED,2025-04-09 12:37:00,2025-04-09 16:05:12,699.2,tons,208.2,209.4,0.994
T00079,M0034,OP0033,ST014,Earth Excavation,DELAYED,2025-05-09 11:19:00,2025-05-09 14:06:48,694.7,m3,167.8,178.9,
T00080,M0003,OP0053,ST013,Material Stockpiling,COMPLETED,2025-07-14 10:15:00,2025-07-14 12:22:36,613.9,tons,127.6,498.7,0.256
T00081,M0033,OP0025,ST001,Demolition,COMPLETED,2025-04-01 14:16:00,2025-04-02 03:19:30,1237.9,m3,783.5,1180.2,0.664
T00082,M0007,OP0019,ST012,Road Preparation,SCHEDULED,2025-09-21 07:31:00,2025-09-21 13:23:36,3588.2,m2,352.6,,
T00083,M0032,OP0054,ST008,Soil Compaction,DELAYED,2025-04-03 10:13:00,2025-04-03 15:01:30,3527.7,m2,288.5,300.8,
T00084,M0035,OP0031,ST013,Road Preparation,CANCELLED,2025-07-26 10:02:00,2025-07-26 16:53:12,5803.0,m2,411.2,,
T00085,M0014,OP0013,ST013,Hauling,COMPLETED,2025-01-28 13:02:00,2025-01-28 21:10:42,1429.9,tons,488.7,749.3,0.652
T00086,M0022,OP0037,ST002,Hauling,CANCELLED,2025-08-29 13:49:00,2025-08-29 21:46:30,1442.1,tons,477.5,,
T00087,M0003,OP0036,ST013,Demolition,COMPLETED,2025-03-07 09:31:00,2025-03-07 11:56:48,358.9,m3,145.8,138.7,1.051
T00088,M0031,OP0015,ST002,Earth Excavation,COMPLETED,2025-02-14 12:02:00,2025-02-14 22:00:48,962.2,m3,598.8,762.8,0.785
T00089,M0034,OP0046,ST014,Trenching,CANCELLED,2025-03-28 06:27:00,2025-03-28 13:45:06,581.9,m,438.1,,
T00090,M0004,OP0043,ST007,Road Preparation,DELAYED,2025-02-07 10:22:00,2025-02-07 15:47:24,5430.7,m2,325.4,332.4,
T00091,M0017,OP0015,ST015,Road Preparation,COMPLETED,2025-01-22 07:46:00,2025-01-22 10:24:06,1682.1,m2,158.1,209.5,0.755
T00092,M0013,OP0029,ST007,Material Loading,CANCELLED,2025-09-10 15:43:00,2025-09-11 11:21:00,1937.0,tons,1178.0,,
T00093,M0012,OP0044,ST002,Hauling,COMPLETED,2025-07-19 06:07:00,2025-07-19 06:57:42,134.9,tons,50.7,102.9,0.493
T00094,M0038,OP0007,ST004,Trenching,COMPLETED,2025-05-06 15:55:00,2025-05-07 00:14:12,398.3,m,499.2,764.3,0.653
T00095,M0029,OP0021,ST010,Material Stockpiling,COMPLETED,2025-01-21 14:04:00,2025-01-21 17:06:42,854.5,tons,182.7,245.8,0.743
T00096,M0025,OP0012,ST011,Material Stockpiling,CANCELLED,2025-08-07 07:38:00,2025-08-07 12:35:12,1384.6,tons,297.2,,
T00097,M0036,OP0010,ST006,Material Stockpiling,COMPLETED,2025-06-20 13:23:00,2025-06-20 19:17:42,1630.4,tons,354.7,404.6,0.877
T00098,M0003,OP0031,ST013,Demolition,COMPLETED,2025-06-07 07:34:00,2025-06-07 16:23:18,1375.9,m3,529.3,515.8,1.026
T00099,M0040,OP0014,ST002,Material Loading,IN_PROGRESS,2025-07-29 08:57:00,2025-07-29 12:16:00,1012.5,tons,199.0,214.9,
T00100,M0034,OP0011,ST014,Trenching,COMPLETED,2025-01-10 13:17:00,2025-01-10 19:40:12,504.2,m,383.2,568.6,0.674
T00101,M0033,OP0009,ST001,Road Preparation,COMPLETED,2025-07-06 11:36:00,2025-07-06 12:18:54,452.7,m2,42.9,67.0,0.64
T00102,M0042,OP0034,ST011,Material Stockpiling,DELAYED,2025-08-07 11:05:00,2025-08-07 16:58:54,1683.4,tons,353.9,516.8,
T00103,M0010,OP0015,ST012,Material Loading,COMPLETED,2025-05-11 09:32:00,2025-05-12 02:36:06,1887.8,tons,1024.1,1141.2,0.897
T00104,M0015,OP0005,ST001,Soil Compaction,IN_PROGRESS,2025-09-07 06:43:00,2025-09-07 07:53:12,958.9,m2,70.2,29.9,
T00105,M0034,OP0044,ST014,Material Loading,SCHEDULED,2025-09-20 08:48:00,2025-09-20 14:52:24,1411.6,tons,364.4,,
T00106,M0015,OP0045,ST001,Trenching,DELAYED,2025-02-21 07:20:00,2025-02-21 08:01:24,54.1,m,41.4,58.8,
T00107,M0031,OP0009,ST002,Material Loading,CANCELLED,2025-03-02 10:28:00,2025-03-02 11:44:30,236.9,tons,76.5,,
T00108,M0003,OP0038,ST013,Material Loading,IN_PROGRESS,2025-08-31 13:48:00,2025-08-31 20:19:48,781.0,tons,391.8,206.1,
T00109,M0032,OP0032,ST008,Demolition,CANCELLED,2025-02-24 09:33:00,2025-02-24 10:38:48,186.6,m3,65.8,,
T00110,M0023,OP0022,ST009,Material Loading,CANCELLED,2025-01-26 12:31:00,2025-01-26 17:55:24,1366.9,tons,324.4,,
T00111,M0011,OP0034,ST003,Trenching,COMPLETED,2025-04-13 13:52:00,2025-04-13 19:15:18,546.7,m,323.3,354.1,0.913
T00112,M0038,OP0007,ST004,Soil Compaction,COMPLETED,2025-02-28 12:55:00,2025-02-28 17:05:42,2521.9,m2,250.7,331.0,0.757
T00113,M0038,OP0027,ST004,Material Stockpiling,SCHEDULED,2025-05-25 07:00:00,2025-05-25 16:51:36,2139.5,tons,591.6,,
T00114,M0009,OP0033,ST004,Material Loading,COMPLETED,2025-07-06 12:40:00,2025-07-06 20:19:36,2266.0,tons,459.6,525.7,0.874
T00115,M0018,OP0013,ST014,Earth Excavation,COMPLETED,2025-02-10 07:33:00,2025-02-10 10:30:24,609.2,m3,177.4,180.8,0.981
T00116,M0025,OP0015,ST011,Material Stockpiling,CANCELLED,2025-04-07 10:20:00,2025-04-07 20:40:12,2221.3,tons,620.2,,
T00117,M0011,OP0010,ST003,Material Loading,COMPLETED,2025-07-10 09:50:00,2025-07-10 12:01:24,292.9,tons,131.4,205.2,0.64
T00118,M0012,OP0027,ST002,Soil Compaction,COMPLETED,2025-02-08 06:21:00,2025-02-08 13:14:24,5165.0,m2,413.4,548.5,0.754
T00119,M0019,OP0004,ST002,Material Loading,COMPLETED,2025-05-15 14:33:00,2025-05-16 04:35:18,2189.9,tons,842.3,1094.4,0.77
T00120,M0019,OP0033,ST002,Trenching,CANCELLED,2025-07-16 07:17:00,2025-07-16 08:48:54,187.2,m,91.9,,
T00121,M0022,OP0034,ST002,Hauling,COMPLETED,2025-03-20 07:10:00,2025-03-20 18:06:18,1947.5,tons,656.3,1171.5,0.56
T00122,M0001,OP0020,ST007,Demolition,COMPLETED,2025-05-03 07:23:00,2025-05-03 14:22:12,769.2,m3,419.2,405.9,1.033
T00123,M0019,OP0029,ST002,Trenching,COMPLETED,2025-08-29 09:26:00,2025-08-29 13:56:06,362.0,m,270.1,355.1,0.761
T00124,M0027,OP0008,ST015,Demolition,IN_PROGRESS,2025-09-29 12:24:00,2025-09-29 19:22:54,794.7,m3,418.9,332.9,
T00125,M0036,OP0017,ST006,Demolition,CANCELLED,2025-05-16 15:43:00,2025-05-17 00:48:06,1344.7,m3,545.1,,
T00126,M0016,OP0032,ST006,Soil Compaction,DELAYED,2025-02-12 11:47:00,2025-02-12 13:58:00,4119.7,m2,131.0,131.5,
T00127,M0034,OP0016,ST014,Demolition,COMPLETED,2025-05-22 13:24:00,2025-05-22 14:47:54,159.7,m3,83.9,234.8,0.357
T00128,M0025,OP0043,ST011,Road Preparation,SCHEDULED,2025-01-07 09:52:00,2025-01-07 12:02:12,1351.7,m2,130.2,,
T00129,M0009,OP0006,ST004,Trenching,CANCELLED,2025-03-21 07:18:00,2025-03-21 11:34:18,521.1,m,256.3,,
T00130,M0001,OP0009,ST007,Earth Excavation,CANCELLED,2025-07-23 12:57:00,2025-07-23 19:22:12,1002.6,m3,385.2,,
T00131,M0025,OP0024,ST011,Material Loading,COMPLETED,2025-04-09 10:04:00,2025-04-09 12:10:06,602.9,tons,126.1,140.4,0.898
T00132,M0036,OP0031,ST006,Material Stockpiling,IN_PROGRESS,2025-03-31 11:17:00,2025-03-31 19:27:36,2433.3,tons,490.6,559.6,
T00133,M0038,OP0025,ST004,Material Loading,SCHEDULED,2025-06-16 06:57:00,2025-06-16 09:33:12,324.1,tons,156.2,,
T00134,M0005,OP0037,ST003,Trenching,SCHEDULED,2025-05-18 06:59:00,2025-05-18 12:29:12,315.9,m,330.2,,
T00135,M0014,OP0032,ST013,Hauling,DELAYED,2025-03-20 11:13:00,2025-03-20 15:42:36,930.1,tons,269.6,311.8,
T00136,M0036,OP0036,ST006,Road Preparation,COMPLETED,2025-04-07 11:11:00,2025-04-07 16:39:24,4750.0,m2,328.4,521.3,0.63
T00137,M0012,OP0048,ST002,Hauling,COMPLETED,2025-02-04 14:08:00,2025-02-04 16:27:18,410.9,tons,139.3,258.4,0.539
T00138,M0014,OP0040,ST013,Road Preparation,COMPLETED,2025-05-14 06:40:00,2025-05-14 16:28:06,4136.7,m2,588.1,706.6,0.832
T00139,M0004,OP0034,ST007,Road Preparation,DELAYED,2025-01-20 14:12:00,2025-01-20 18:29:30,3612.3,m2,257.5,281.6,
T00140,M0024,OP0026,ST004,Material Loading,COMPLETED,2025-08-17 10:06:00,2025-08-17 11:56:30,448.0,tons,110.5,166.1,0.665
T00141,M0036,OP0048,ST006,Earth Excavation,IN_PROGRESS,2025-04-27 13:38:00,2025-04-27 14:44:24,143.2,m3,66.4,21.3,
T00142,M0027,OP0044,ST015,Material Stockpiling,DELAYED,2025-03-07 09:30:00,2025-03-08 03:39:12,2271.0,tons,1089.2,1221.6,
T00143,M0037,OP0006,ST005,Material Stockpiling,COMPLETED,2025-06-03 08:47:00,2025-06-03 18:51:24,2215.3,tons,604.4,834.8,0.724
T00144,M0007,OP0005,ST012,Soil Compaction,COMPLETED,2025-05-18 15:16:00,2025-05-18 18:12:18,3926.4,m2,176.3,292.0,0.604
T00145,M0026,OP0034,ST015,Grading,DELAYED,2025-02-20 08:25:00,2025-02-20 09:27:12,1352.4,m2,62.2,69.1,
T00146,M0037,OP0013,ST005,Road Preparation,DELAYED,2025-07-01 12:24:00,2025-07-01 17:33:54,4185.6,m2,309.9,373.9,
T00147,M0012,OP0032,ST002,Trenching,IN_PROGRESS,2025-09-10 08:59:00,2025-09-10 12:37:54,227.2,m,218.9,136.9,
T00148,M0013,OP0012,ST007,Trenching,DELAYED,2025-06-28 06:22:00,2025-06-28 12:14:30,572.7,m,352.5,370.1,
T00149,M0001,OP0026,ST007,Trenching,DELAYED,2025-03-17 15:43:00,2025-03-17 17:12:36,145.9,m,89.6,123.0,
T00150,M0022,OP0020,ST002,Hauling,DELAYED,2025-02-22 06:01:00,2025-02-22 13:23:30,954.7,tons,442.5,600.3,
T00151,M0013,OP0004,ST007,Trenching,COMPLETED,2025-06-08 11:45:00,2025-06-08 13:03:30,151.0,m,78.5,96.0,0.818
T00152,M0010,OP0037,ST012,Hauling,COMPLETED,2025-06-11 09:47:00,2025-06-11 11:59:18,376.8,tons,132.3,200.0,0.662
T00153,M0036,OP0048,ST006,Road Preparation,IN_PROGRESS,2025-02-19 12:13:00,2025-02-19 18:19:18,5302.9,m2,366.3,413.2,
T00154,M0038,OP0039,ST004,Demolition,SCHEDULED,2025-06-14 11:07:00,2025-06-14 17:41:06,1012.9,m3,394.1,,
T00155,M0016,OP0023,ST006,Soil Compaction,SCHEDULED,2025-01-27 12:21:00,2025-01-27 13:04:54,959.7,m2,43.9,,
T00156,M0015,OP0014,ST001,Material Loading,SCHEDULED,2025-03-06 14:38:00,2025-03-06 21:13:24,1936.4,tons,395.4,,
T00157,M0030,OP0014,ST009,Earth Excavation,IN_PROGRESS,2025-04-04 15:25:00,2025-04-04 21:10:00,1341.4,m3,345.0,114.0,
T00158,M0006,OP0027,ST010,Trenching,COMPLETED,2025-09-03 14:44:00,2025-09-03 17:25:00,218.7,m,161.0,304.8,0.528
T00159,M0033,OP0020,ST001,Road Preparation,COMPLETED,2025-04-15 15:52:00,2025-04-16 00:44:06,5626.6,m2,532.1,888.1,0.599
T00160,M0033,OP0049,ST001,Road Preparation,CANCELLED,2025-04-28 15:30:00,2025-04-28 18:19:18,2207.1,m2,169.3,,
T00161,M0017,OP0029,ST015,Material Loading,COMPLETED,2025-02-17 15:10:00,2025-02-18 14:15:18,2307.7,tons,1385.3,1647.2,0.841
T00162,M0015,OP0014,ST001,Material Loading,COMPLETED,2025-06-25 15:49:00,2025-06-25 17:34:24,537.4,tons,105.4,238.6,0.442
T00163,M0011,OP0014,ST003,Demolition,DELAYED,2025-04-20 06:25:00,2025-04-20 08:01:00,130.3,m3,96.0,104.5,
T00164,M0011,OP0032,ST003,Trenching,COMPLETED,2025-09-09 14:08:00,2025-09-09 15:51:00,205.8,m,103.0,154.1,0.668
T00165,M0038,OP0052,ST004,Demolition,DELAYED,2025-08-01 13:17:00,2025-08-01 22:25:42,1125.3,m3,548.7,677.2,
T00166,M0026,OP0026,ST015,Grading,IN_PROGRESS,2025-03-28 14:03:00,2025-03-28 17:38:42,4276.1,m2,215.7,123.7,
T00167,M0002,OP0004,ST007,Material Loading,DELAYED,2025-05-20 09:15:00,2025-05-20 16:02:30,2016.6,tons,407.5,534.5,
T00168,M0016,OP0039,ST006,Road Preparation,COMPLETED,2025-01-18 13:44:00,2025-01-18 18:27:12,4051.6,m2,283.2,543.4,0.521
T00169,M0032,OP0018,ST008,Soil Compaction,IN_PROGRESS,2025-07-20 13:15:00,2025-07-20 18:24:06,5211.0,m2,309.1,158.5,
T00170,M0002,OP0050,ST007,Material Stockpiling,COMPLETED,2025-01-09 08:54:00,2025-01-09 12:22:18,1112.9,tons,208.3,335.6,0.621
T00171,M0002,OP0007,ST007,Material Stockpiling,SCHEDULED,2025-04-18 07:58:00,2025-04-18 10:29:12,536.4,tons,151.2,,
T00172,M0005,OP0004,ST003,Demolition,SCHEDULED,2025-08-31 06:12:00,2025-08-31 18:38:30,1068.2,m3,746.5,,
T00173,M0007,OP0052,ST012,Soil Compaction,CANCELLED,2025-01-19 14:57:00,2025-01-19 16:45:48,2390.6,m2,108.8,,
T00174,M0031,OP0027,ST002,Material Stockpiling,COMPLETED,2025-08-20 07:56:00,2025-08-20 17:21:48,2098.5,tons,565.8,681.2,0.831
T00175,M0014,OP0051,ST013,Soil Compaction,COMPLETED,2025-05-09 09:56:00,2025-05-09 10:18:00,406.9,m2,22.0,27.7,0.794
T00176,M0006,OP0054,ST010,Trenching,IN_PROGRESS,2025-06-07 11:10:00,2025-06-07 13:04:30,199.5,m,114.5,65.5,
T00177,M0023,OP0014,ST009,Earth Excavation,COMPLETED,2025-07-25 11:53:00,2025-07-25 16:42:12,680.6,m3,289.2,341.0,0.848
T00178,M0009,OP0011,ST004,Demolition,IN_PROGRESS,2025-03-13 06:46:00,2025-03-13 08:19:42,178.4,m3,93.7,49.7,
T00179,M0001,OP0045,ST007,Earth Excavation,COMPLETED,2025-07-21 11:58:00,2025-07-21 13:14:36,207.6,m3,76.6,157.7,0.486
T00180,M0015,OP0051,ST001,Trenching,IN_PROGRESS,2025-05-01 14:18:00,2025-05-01 15:22:06,132.1,m,64.1,61.4,
T00181,M0035,OP0021,ST013,Grading,COMPLETED,2025-01-19 06:31:00,2025-01-19 10:18:18,4772.9,m2,227.3,212.9,1.068
T00182,M0035,OP0045,ST013,Material Loading,DELAYED,2025-09-25 11:43:00,2025-09-26 04:54:42,1839.2,tons,1031.7,1131.9,
T00183,M0014,OP0006,ST013,Hauling,DELAYED,2025-02-18 13:51:00,2025-02-19 00:05:06,2083.1,tons,614.1,881.9,
T00184,M0024,OP0010,ST004,Soil Compaction,COMPLETED,2025-04-07 09:42:00,2025-04-07 11:46:24,1600.3,m2,124.4,255.7,0.487
T00185,M0035,OP0004,ST013,Trenching,COMPLETED,2025-04-18 15:47:00,2025-04-18 23:16:54,515.0,m,449.9,406.8,1.106
T00186,M0014,OP0051,ST013,Hauling,DELAYED,2025-08-26 11:14:00,2025-08-26 14:34:12,703.4,tons,200.2,205.9,
T00187,M0041,OP0024,ST008,Trenching,DELAYED,2025-09-16 10:06:00,2025-09-16 12:29:48,286.4,m,143.8,192.3,
