machine_id,machine_type,machine_model,manufacturer,manufacturing_year,machine_age_years,engine_type,rated_power_kw,fuel_capacity_l,operating_weight_kg,site_id,status
M0028,EXCAVATOR,EX-220XE,CatCo,2014,10.9,DIESEL_TIER4I,247.6,690.0,61423,ST012,ACTIVE
M0029,DOZER,DZ-986D2,IronPeak,2012,13.6,DIESEL_TIER4I,178.1,480.0,56284,ST010,ACTIVE
M0030,EXCAVATOR,EX-972,CatCo,2017,7.8,DIESEL_STAGEV,170.7,365.0,84309,ST009,ACTIVE
M0031,WHEEL_LOADER,WL-336,TerraForge,2017,7.7,DIESEL_TIER4F,140.2,269.0,31507,ST002,ACTIVE
M0032,DOZER,DZ-950D,CatCo,2024,1.6,DIESEL_TIER3,117.8,450.0,28784,ST008,ACTIVE
M0033,MOTOR_GRADER,MG-986D2,TerraForge,2014,11.1,DIESEL_TIER4I,105.9,467.0,13675,ST001,MAINTENANCE
M0034,EXCAVATOR,EX-972XE,TerraForge,2022,3.7,DIESEL_STAGEV,292.7,589.0,74087,ST014,ACTIVE
M0035,MOTOR_GRADER,MG-220D2,CatCo,2024,1.2,DIESEL_TIER4I,174.2,353.0,14816,ST013,ACTIVE
M0036,DOZER,DZ-349D,TerraForge,2015,10.1,DIESEL_TIER4F,216.9,727.0,32031,ST006,MAINTENANCE
M0037,COMPACTOR,CP-972D2,CatCo,2021,4.2,DIESEL_STAGEV,180.9,401.0,16990,ST005,ACTIVE
M0038,DOZER,DZ-160GC,CatCo,2011,14.4,DIESEL_TIER3,144.0,688.0,21135,ST004,ACTIVE
M0039,EXCAVATOR,EX-336XE,CatCo,2021,4.7,DIESEL_STAGEV,244.4,652.0,75248,ST003,MAINTENANCE
M0040,WHEEL_LOADER,WL-390D2,TerraForge,2011,14.3,DIESEL_TIER4F,229.9,450.0,27377,ST002,ACTIVE
M0041,BACKHOE_LOADER,BL-986GC,TerraForge,2018,7.3,DIESEL_TIER3,77.2,163.0,7613,ST008,ACTIVE
M0042,DOZER,DZ-986GC,CatCo,2013,12.0,DIESEL_TIER3,329.9,499.0,35666,ST011,ACTIVE
