date,operator_id,machine_id,task_id,priority,scheduled_start,scheduled_end,task_type,location_zone,target_quantity,status
2025-01-04,OP0010,M0028,T00052,LOW,2025-01-04 10:42:00,2025-01-04 11:31:06,Trenching,ZONE-B,87.4,COMPLETED
2025-01-05,OP0036,M0038,T00516,HIGH,2025-01-05 13:56:00,2025-01-05 16:13:42,Road Preparation,ZONE-B,1988.5,SCHEDULED
2025-01-05,OP0018,M0013,T00263,MEDIUM,2025-01-05 07:05:00,2025-01-05 11:45:24,Trenching,ZONE-C,502.1,IN_PROGRESS
2025-01-06,OP0002,M0001,DT00077,LOW,2025-01-06 13:00:00,2025-01-06 15:14:00,Trenching,ZONE-A,1584.6,IN_PROGRESS
2025-01-06,OP0014,M0031,T00267,MEDIUM,2025-01-06 09:48:00,2025-01-06 11:17:36,Material Loading,ZONE-B,445.8,COMPLETED
2025-01-07,OP0032,M0030,T00589,MEDIUM,2025-01-07 11:33:00,2025-01-07 15:41:12,Earth Excavation,ZONE-B,1025.9,COMPLETED
2025-01-07,OP0043,M0025,T00128,LOW,2025-01-07 09:52:00,2025-01-07 12:02:12,Road Preparation,ZONE-D,1351.7,SCHEDULED
2025-01-07,OP0052,M0021,T00495,MEDIUM,2025-01-07 11:18:00,2025-01-07 15:49:54,Earth Excavation,ZONE-D,438.3,COMPLETED
2025-01-07,OP0007,M0007,T00721,LOW,2025-01-07 08:29:00,2025-01-07 15:40:00,Road Preparation,ZONE-A,4605.9,IN_PROGRESS
2025-01-07,OP0001,M0003,T00258,LOW,2025-01-07 14:18:00,2025-01-07 16:11:30,Road Preparation,ZONE-A,1789.1,COMPLETED
2025-01-08,OP0036,M0019,DT00041,LOW,2025-01-08 09:00:00,2025-01-08 12:10:00,Material Loading,ZONE-C,1515.8,COMPLETED
2025-01-08,OP0002,M0022,T00599,MEDIUM,2025-01-08 14:56:00,2025-01-08 15:31:24,Hauling,ZONE-B,121.0,CANCELLED
2025-01-08,OP0037,M0035,T00047,LOW,2025-01-08 13:12:00,2025-01-08 13:36:12,Road Preparation,ZONE-B,343.1,COMPLETED
2025-01-08,OP0055,M0035,DT00181,URGENT,2025-01-08 08:00:00,2025-01-08 12:10:00,Grading,ZONE-D,1639.0,SCHEDULED
2025-01-09,OP0034,M0042,T00829,MEDIUM,2025-01-09 12:03:00,2025-01-09 19:01:30,Road Preparation,ZONE-C,5726.5,COMPLETED
2025-01-09,OP0037,M0040,T00593,MEDIUM,2025-01-09 09:10:00,2025-01-09 11:25:12,Material Loading,ZONE-B,581.8,COMPLETED
2025-01-09,OP0050,M0002,T00170,LOW,2025-01-09 08:54:00,2025-01-09 12:22:18,Material Stockpiling,ZONE-B,1112.9,COMPLETED
2025-01-09,OP0039,M0024,T00432,MEDIUM,2025-01-09 07:33:00,2025-01-09 16:47:54,Material Loading,ZONE-A,2284.6,COMPLETED
2025-01-10,OP0007,M0013,T00467,MEDIUM,2025-01-10 13:45:00,2025-01-10 17:44:00,Trenching,ZONE-B,296.0,COMPLETED
2025-01-10,OP0011,M0034,T00100,LOW,2025-01-10 13:17:00,2025-01-10 19:40:12,Trenching,ZONE-D,504.2,COMPLETED
2025-01-11,OP0030,M0024,T00058,HIGH,2025-01-11 10:53:00,2025-01-11 12:00:54,Material Stockpiling,ZONE-D,327.5,DELAYED
2025-01-11,OP0029,M0003,T00188,MEDIUM,2025-01-11 13:30:00,2025-01-11 22:58:12,Material Loading,ZONE-C,985.2,COMPLETED
2025-01-11,OP0017,M0010,T00541,LOW,2025-01-11 09:57:00,2025-01-11 16:50:36,Earth Excavation,ZONE-B,702.8,CANCELLED
2025-01-11,OP0009,M0001,DT00024,HIGH,2025-01-11 06:00:00,2025-01-11 11:55:00,Material Loading,ZONE-B,628.1,SCHEDULED
2025-01-11,OP0001,M0007,T00621,LOW,2025-01-11 07:35:00,2025-01-11 09:42:06,Road Preparation,ZONE-B,2056.9,COMPLETED
2025-01-12,OP0003,M0017,DT00152,MEDIUM,2025-01-12 14:00:00,2025-01-12 19:01:00,Material Loading,ZONE-D,891.5,COMPLETED
2025-01-12,OP0033,M0010,T00490,LOW,2025-01-12 15:04:00,2025-01-13 02:08:18,Hauling,ZONE-D,2291.3,COMPLETED
2025-01-12,OP0049,M0028,T00693,MEDIUM,2025-01-12 10:05:00,2025-01-12 16:11:00,Trenching,ZONE-C,594.8,DELAYED
2025-01-12,OP0028,M0027,DT00079,MEDIUM,2025-01-12 07:00:00,2025-01-12 11:15:00,Soil Compaction,ZONE-B,1720.9,COMPLETED
2025-01-12,OP0023,M0037,DT00145,URGENT,2025-01-12 09:00:00,2025-01-12 13:49:00,Hauling,ZONE-D,380.6,COMPLETED
2025-01-12,OP0024,M0038,T00809,MEDIUM,2025-01-12 11:55:00,2025-01-12 17:41:54,Material Stockpiling,ZONE-C,1959.2,CANCELLED
2025-01-12,OP0005,M0025,T00436,MEDIUM,2025-01-12 12:48:00,2025-01-12 14:12:06,Material Loading,ZONE-C,285.8,SCHEDULED
2025-01-13,OP0039,M0031,T00781,HIGH,2025-01-13 13:37:00,2025-01-13 18:32:30,Material Stockpiling,ZONE-A,1389.9,DELAYED
2025-01-13,OP0050,M0035,T00451,HIGH,2025-01-13 11:35:00,2025-01-13 16:49:36,Road Preparation,ZONE-B,4940.7,IN_PROGRESS
2025-01-13,OP0035,M0021,T00224,URGENT,2025-01-13 14:37:00,2025-01-13 15:45:54,Road Preparation,ZONE-A,1146.2,IN_PROGRESS
2025-01-14,OP0050,M0031,T00824,LOW,2025-01-14 07:14:00,2025-01-14 09:49:30,Material Loading,ZONE-C,763.9,DELAYED
2025-01-14,OP0012,M0009,T00204,URGENT,2025-01-14 10:39:00,2025-01-14 14:29:54,Material Loading,ZONE-B,985.4,IN_PROGRESS
2025-01-14,OP0029,M0006,T00056,MEDIUM,2025-01-14 08:12:00,2025-01-14 13:51:48,Trenching,ZONE-A,436.2,COMPLETED
2025-01-14,OP0001,M0003,T00430,MEDIUM,2025-01-14 15:26:00,2025-01-14 21:04:36,Road Preparation,ZONE-D,5532.1,COMPLETED
2025-01-14,OP0012,M0017,T00428,MEDIUM,2025-01-14 15:04:00,2025-01-14 19:11:36,Road Preparation,ZONE-A,3451.6,COMPLETED
2025-01-14,OP0013,M0036,DT00135,HIGH,2025-01-14 14:00:00,2025-01-14 15:26:00,Hauling,ZONE-A,1760.8,COMPLETED
2025-01-15,OP0027,M0033,T00248,HIGH,2025-01-15 15:44:00,2025-01-16 02:00:12,Hauling,ZONE-A,750.6,SCHEDULED
2025-01-15,OP0008,M0018,T00600,URGENT,2025-01-15 07:10:00,2025-01-15 15:31:30,Demolition,ZONE-D,977.5,COMPLETED
2025-01-15,OP0007,M0021,T00743,HIGH,2025-01-15 07:11:00,2025-01-15 14:44:06,Road Preparation,ZONE-B,4796.6,SCHEDULED
2025-01-15,OP0024,M0042,T00749,LOW,2025-01-15 10:34:00,2025-01-15 13:05:12,Material Stockpiling,ZONE-B,861.6,COMPLETED
2025-01-16,OP0041,M0013,DT00057,HIGH,2025-01-16 12:00:00,2025-01-16 14:21:00,Earth Excavation,ZONE-B,1139.4,IN_PROGRESS
2025-01-17,OP0046,M0003,T00683,MEDIUM,2025-01-17 11:54:00,2025-01-17 15:49:18,Soil Compaction,ZONE-C,2677.0,COMPLETED
2025-01-17,OP0021,M0007,T00448,LOW,2025-01-17 14:02:00,2025-01-17 20:57:18,Road Preparation,ZONE-A,5937.0,COMPLETED
2025-01-17,OP0030,M0006,T00454,URGENT,2025-01-17 06:04:00,2025-01-17 06:50:42,Trenching,ZONE-C,81.0,CANCELLED
2025-01-18,OP0025,M0031,T00841,MEDIUM,2025-01-18 10:03:00,2025-01-18 17:12:12,Road Preparation,ZONE-C,3209.1,IN_PROGRESS
2025-01-18,OP0043,M0026,T00826,LOW,2025-01-18 11:18:00,2025-01-18 11:48:42,Road Preparation,ZONE-D,498.0,COMPLETED
2025-01-18,OP0012,M0029,T00605,HIGH,2025-01-18 13:07:00,2025-01-18 19:43:18,Material Stockpiling,ZONE-C,1880.8,DELAYED
2025-01-18,OP0039,M0016,T00168,LOW,2025-01-18 13:44:00,2025-01-18 18:27:12,Road Preparation,ZONE-C,4051.6,COMPLETED
2025-01-19,OP0051,M0018,T00798,LOW,2025-01-19 07:23:00,2025-01-19 09:35:18,Earth Excavation,ZONE-A,549.2,COMPLETED
2025-01-19,OP0035,M0025,T00420,LOW,2025-01-19 11:22:00,2025-01-19 15:25:30,Material Stockpiling,ZONE-D,1392.3,COMPLETED
2025-01-19,OP0021,M0035,T00181,MEDIUM,2025-01-19 06:31:00,2025-01-19 10:18:18,Grading,ZONE-D,4772.9,COMPLETED
2025-01-19,OP0048,M0042,T00496,URGENT,2025-01-19 11:10:00,2025-01-19 17:23:42,Material Stockpiling,ZONE-D,1829.1,IN_PROGRESS
2025-01-19,OP0052,M0007,T00173,HIGH,2025-01-19 14:57:00,2025-01-19 16:45:48,Soil Compaction,ZONE-C,2390.6,CANCELLED
2025-01-19,OP0027,M0019,T00666,URGENT,2025-01-19 11:28:00,2025-01-19 19:00:06,Trenching,ZONE-B,578.7,SCHEDULED
2025-01-20,OP0034,M0004,T00139,URGENT,2025-01-20 14:12:00,2025-01-20 18:29:30,Road Preparation,ZONE-A,3612.3,DELAYED
2025-01-20,OP0028,M0007,T00314,LOW,2025-01-20 09:53:00,2025-01-20 14:15:42,Road Preparation,ZONE-D,3561.2,DELAYED
2025-01-20,OP0007,M0030,T00390,MEDIUM,2025-01-20 15:42:00,2025-01-20 19:16:54,Trenching,ZONE-B,269.0,COMPLETED
2025-01-20,OP0047,M0009,T00795,MEDIUM,2025-01-20 15:18:00,2025-01-20 17:35:18,Trenching,ZONE-D,266.5,COMPLETED
2025-01-20,OP0050,M0025,T00603,MEDIUM,2025-01-20 08:17:00,2025-01-20 13:39:06,Material Stockpiling,ZONE-C,1841.6,COMPLETED
2025-01-20,OP0038,M0017,T00074,HIGH,2025-01-20 11:01:00,2025-01-20 16:44:36,Road Preparation,ZONE-A,4709.0,COMPLETED
2025-01-21,OP0004,M0022,T00836,MEDIUM,2025-01-21 12:31:00,2025-01-21 16:04:36,Grading,ZONE-B,2602.5,COMPLETED
2025-01-21,OP0022,M0021,T00252,HIGH,2025-01-21 14:02:00,2025-01-21 18:11:54,Grading,ZONE-A,5426.6,COMPLETED
2025-01-21,OP0021,M0029,T00095,HIGH,2025-01-21 14:04:00,2025-01-21 17:06:42,Material Stockpiling,ZONE-C,854.5,COMPLETED
2025-01-21,OP0042,M0032,T00325,HIGH,2025-01-21 06:44:00,2025-01-21 07:40:00,Material Stockpiling,ZONE-C,249.2,SCHEDULED
2025-01-22,OP0015,M0017,T00091,MEDIUM,2025-01-22 07:46:00,2025-01-22 10:24:06,Road Preparation,ZONE-D,1682.1,COMPLETED
2025-01-22,OP0048,M0013,T00232,HIGH,2025-01-22 11:08:00,2025-01-23 01:59:42,Material Stockpiling,ZONE-D,2312.3,COMPLETED
2025-01-22,OP0022,M0039,T00514,LOW,2025-01-22 08:31:00,2025-01-22 17:17:36,Material Loading,ZONE-A,2204.8,IN_PROGRESS
2025-01-23,OP0025,M0021,T00292,MEDIUM,2025-01-23 09:03:00,2025-01-23 15:48:18,Road Preparation,ZONE-B,5750.1,DELAYED
2025-01-23,OP0035,M0042,DT00107,MEDIUM,2025-01-23 10:00:00,2025-01-23 13:46:00,Grading,ZONE-A,879.4,COMPLETED
2025-01-23,OP0052,M0009,T00395,MEDIUM,2025-01-23 08:42:00,2025-01-23 11:32:48,Earth Excavation,ZONE-A,462.1,COMPLETED
2025-01-24,OP0053,M0005,T00298,MEDIUM,2025-01-24 08:07:00,2025-01-24 10:53:48,Hauling,ZONE-A,487.7,CANCELLED
2025-01-25,OP0051,M0042,T00678,MEDIUM,2025-01-25 14:23:00,2025-01-25 19:19:48,Road Preparation,ZONE-D,4892.6,CANCELLED
2025-01-25,OP0050,M0035,DT00002,MEDIUM,2025-01-25 11:00:00,2025-01-25 14:14:00,Earth Excavation,ZONE-C,875.1,COMPLETED
2025-01-25,OP0040,M0042,T00663,LOW,2025-01-25 06:25:00,2025-01-25 13:28:36,Material Loading,ZONE-B,929.7,COMPLETED
2025-01-25,OP0034,M0003,T00682,LOW,2025-01-25 06:40:00,2025-01-25 14:47:06,Trenching,ZONE-D,483.8,COMPLETED
2025-01-25,OP0039,M0029,T00704,HIGH,2025-01-25 11:42:00,2025-01-25 15:01:24,Material Stockpiling,ZONE-A,969.0,COMPLETED
2025-01-25,OP0054,M0018,T00198,HIGH,2025-01-25 07:34:00,2025-01-25 12:42:54,Soil Compaction,ZONE-D,3736.0,COMPLETED
2025-01-26,OP0022,M0023,T00110,HIGH,2025-01-26 12:31:00,2025-01-26 17:55:24,Material Loading,ZONE-A,1366.9,CANCELLED
2025-01-27,OP0044,M0027,T00804,MEDIUM,2025-01-27 11:36:00,2025-01-27 14:58:54,Earth Excavation,ZONE-C,641.3,COMPLETED
2025-01-27,OP0023,M0016,T00155,LOW,2025-01-27 12:21:00,2025-01-27 13:04:54,Soil Compaction,ZONE-D,959.7,SCHEDULED
2025-01-28,OP0027,M0022,T00597,MEDIUM,2025-01-28 07:35:00,2025-01-28 17:25:48,Grading,ZONE-D,5479.6,SCHEDULED
2025-01-28,OP0013,M0014,T00085,MEDIUM,2025-01-28 13:02:00,2025-01-28 21:10:42,Hauling,ZONE-B,1429.9,COMPLETED
2025-01-28,OP0025,M0014,T00462,MEDIUM,2025-01-28 10:04:00,2025-01-28 18:12:48,Hauling,ZONE-D,1403.5,SCHEDULED
2025-01-29,OP0035,M0009,T00648,MEDIUM,2025-01-29 09:41:00,2025-01-29 11:23:12,Trenching,ZONE-C,202.5,COMPLETED
2025-01-29,OP0036,M0002,T00702,LOW,2025-01-29 09:49:00,2025-01-29 18:57:36,Road Preparation,ZONE-B,4808.1,COMPLETED
2025-01-29,OP0042,M0039,T00040,LOW,2025-01-29 12:11:00,2025-01-29 20:26:00,Material Loading,ZONE-B,2039.6,CANCELLED
2025-01-30,OP0025,M0008,T00217,LOW,2025-01-30 15:54:00,2025-01-30 16:48:54,Earth Excavation,ZONE-C,194.2,COMPLETED
2025-01-30,OP0022,M0038,T00023,MEDIUM,2025-01-30 15:47:00,2025-01-30 22:38:30,Demolition,ZONE-B,1057.5,IN_PROGRESS
2025-01-30,OP0046,M0040,T00637,LOW,2025-01-30 14:57:00,2025-01-30 16:42:06,Material Loading,ZONE-A,339.6,DELAYED
2025-01-30,OP0055,M0026,T00770,MEDIUM,2025-01-30 08:29:00,2025-01-30 09:56:42,Road Preparation,ZONE-D,1208.9,SCHEDULED
2025-01-30,OP0032,M0035,DT00099,HIGH,2025-01-30 10:00:00,2025-01-30 14:06:00,Grading,ZONE-A,763.7,SCHEDULED
2025-01-30,OP0016,M0008,T00014,HIGH,2025-01-30 15:11:00,2025-01-30 16:33:06,Trenching,ZONE-B,108.6,IN_PROGRESS
2025-01-31,OP0045,M0023,T00732,MEDIUM,2025-01-31 07:58:00,2025-01-31 13:02:30,Grading,ZONE-A,3177.3,CANCELLED
2025-01-31,OP0010,M0027,DT00147,URGENT,2025-01-31 14:00:00,2025-01-31 19:16:00,Trenching,ZONE-B,1511.7,DELAYED
2025-01-31,OP0016,M0017,T00321,URGENT,2025-01-31 07:12:00,2025-01-31 13:12:18,Grading,ZONE-D,5920.5,COMPLETED
2025-01-31,OP0020,M0013,T00720,LOW,2025-01-31 10:37:00,2025-01-31 12:47:36,Road Preparation,ZONE-C,852.7,DELAYED
2025-01-31,OP0052,M0022,T00384,MEDIUM,2025-01-31 11:37:00,2025-01-31 17:49:48,Hauling,ZONE-B,870.8,DELAYED
2025-02-01,OP0050,M0038,T00470,LOW,2025-02-01 10:14:00,2025-02-01 15:10:54,Material Loading,ZONE-C,701.0,COMPLETED
2025-02-01,OP0003,M0009,T00433,URGENT,2025-02-01 15:39:00,2025-02-01 18:25:36,Demolition,ZONE-B,426.9,SCHEDULED
2025-02-02,OP0003,M0014,T00305,MEDIUM,2025-02-02 10:01:00,2025-02-02 22:23:48,Material Loading,ZONE-B,2041.3,COMPLETED
2025-02-02,OP0028,M0013,T00550,MEDIUM,2025-02-02 12:42:00,2025-02-02 17:10:18,Trenching,ZONE-C,463.4,COMPLETED
2025-02-03,OP0042,M0036,T00064,MEDIUM,2025-02-03 13:27:00,2025-02-03 20:38:54,Material Stockpiling,ZONE-A,1897.6,DELAYED
2025-02-03,OP0020,M0030,T00236,LOW,2025-02-03 15:24:00,2025-02-03 22:53:36,Demolition,ZONE-A,865.1,COMPLETED
2025-02-03,OP0005,M0022,T00564,LOW,2025-02-03 08:23:00,2025-02-03 16:31:42,Hauling,ZONE-D,1112.7,COMPLETED
2025-02-03,OP0009,M0013,T00848,MEDIUM,2025-02-03 08:33:00,2025-02-03 17:53:06,Material Loading,ZONE-D,985.4,SCHEDULED
2025-02-04,OP0017,M0004,T00312,URGENT,2025-02-04 14:15:00,2025-02-04 16:36:18,Grading,ZONE-B,3073.9,COMPLETED
2025-02-04,OP0048,M0012,T00137,HIGH,2025-02-04 14:08:00,2025-02-04 16:27:18,Hauling,ZONE-C,410.9,COMPLETED
2025-02-04,OP0034,M0032,T00680,MEDIUM,2025-02-04 08:57:00,2025-02-04 15:42:36,Material Stockpiling,ZONE-C,1940.0,SCHEDULED
2025-02-04,OP0003,M0032,T00778,URGENT,2025-02-04 12:52:00,2025-02-04 14:12:36,Earth Excavation,ZONE-B,138.9,CANCELLED
2025-02-04,OP0027,M0005,T00353,HIGH,2025-02-04 14:50:00,2025-02-04 17:18:12,Hauling,ZONE-C,322.2,COMPLETED
2025-02-04,OP0036,M0036,DT00076,HIGH,2025-02-04 08:00:00,2025-02-04 13:02:00,Material Stockpiling,ZONE-A,1958.9,SCHEDULED
2025-02-04,OP0005,M0019,T00423,URGENT,2025-02-04 06:13:00,2025-02-04 18:22:18,Material Loading,ZONE-A,1153.1,COMPLETED
2025-02-04,OP0030,M0021,T00716,LOW,2025-02-04 09:40:00,2025-02-04 10:57:36,Grading,ZONE-D,1623.2,DELAYED
2025-02-05,OP0030,M0039,T00291,URGENT,2025-02-05 14:42:00,2025-02-05 19:11:06,Demolition,ZONE-C,664.6,DELAYED
2025-02-05,OP0042,M0033,T00419,LOW,2025-02-05 12:09:00,2025-02-05 18:35:48,Road Preparation,ZONE-D,5053.7,SCHEDULED
2025-02-06,OP0005,M0001,DT00158,MEDIUM,2025-02-06 13:00:00,2025-02-06 18:53:00,Demolition,ZONE-A,1381.0,COMPLETED
2025-02-06,OP0050,M0008,T00699,MEDIUM,2025-02-06 15:12:00,2025-02-06 21:54:24,Material Loading,ZONE-C,1940.4,COMPLETED
2025-02-06,OP0015,M0003,DT00078,MEDIUM,2025-02-06 13:00:00,2025-02-06 16:13:00,Grading,ZONE-B,1774.2,COMPLETED
2025-02-06,OP0004,M0038,T00602,LOW,2025-02-06 11:44:00,2025-02-06 18:35:30,Demolition,ZONE-D,1192.6,COMPLETED
2025-02-06,OP0014,M0026,T00753,URGENT,2025-02-06 11:54:00,2025-02-07 01:13:48,Hauling,ZONE-B,1276.4,CANCELLED
2025-02-06,OP0029,M0037,T00822,HIGH,2025-02-06 09:55:00,2025-02-06 13:36:00,Road Preparation,ZONE-C,2298.5,SCHEDULED
2025-02-07,OP0023,M0016,T00333,MEDIUM,2025-02-07 15:18:00,2025-02-07 23:13:36,Road Preparation,ZONE-C,5292.8,COMPLETED
2025-02-07,OP0043,M0004,T00090,MEDIUM,2025-02-07 10:22:00,2025-02-07 15:47:24,Road Preparation,ZONE-D,5430.7,DELAYED
2025-02-07,OP0020,M0004,DT00072,MEDIUM,2025-02-07 14:00:00,2025-02-07 16:09:00,Demolition,ZONE-B,1145.2,DELAYED
2025-02-08,OP0045,M0018,T00376,HIGH,2025-02-08 12:20:00,2025-02-08 14:47:48,Hauling,ZONE-A,199.9,IN_PROGRESS
2025-02-08,OP0027,M0012,T00118,MEDIUM,2025-02-08 06:21:00,2025-02-08 13:14:24,Soil Compaction,ZONE-A,5165.0,COMPLETED
2025-02-09,OP0024,M0024,T00381,LOW,2025-02-09 12:52:00,2025-02-09 14:05:48,Material Loading,ZONE-C,355.2,COMPLETED
2025-02-09,OP0029,M0018,T00527,MEDIUM,2025-02-09 10:27:00,2025-02-09 18:46:24,Material Loading,ZONE-B,1581.2,IN_PROGRESS
2025-02-09,OP0039,M0026,T00022,MEDIUM,2025-02-09 07:04:00,2025-02-09 08:29:42,Earth Excavation,ZONE-D,134.6,CANCELLED
2025-02-10,OP0008,M0018,T00071,MEDIUM,2025-02-10 14:17:00,2025-02-10 20:00:00,Trenching,ZONE-B,450.4,COMPLETED
2025-02-10,OP0013,M0018,T00115,MEDIUM,2025-02-10 07:33:00,2025-02-10 10:30:24,Earth Excavation,ZONE-C,609.2,COMPLETED
2025-02-10,OP0009,M0006,DT00101,LOW,2025-02-10 12:00:00,2025-02-10 14:34:00,Hauling,ZONE-B,1958.2,IN_PROGRESS
2025-02-10,OP0026,M0017,T00646,LOW,2025-02-10 11:01:00,2025-02-10 13:59:12,Grading,ZONE-B,3587.4,SCHEDULED
2025-02-11,OP0048,M0020,T00457,HIGH,2025-02-11 15:25:00,2025-02-11 16:20:00,Trenching,ZONE-A,96.8,COMPLETED
2025-02-12,OP0030,M0030,T00062,LOW,2025-02-12 08:27:00,2025-02-12 12:28:54,Earth Excavation,ZONE-D,855.3,DELAYED
2025-02-12,OP0021,M0020,T00443,LOW,2025-02-12 11:43:00,2025-02-12 16:12:48,Road Preparation,ZONE-A,1982.7,COMPLETED
2025-02-12,OP0032,M0019,T00561,MEDIUM,2025-02-12 10:52:00,2025-02-12 13:18:00,Trenching,ZONE-B,286.5,CANCELLED
2025-02-12,OP0032,M0016,T00126,MEDIUM,2025-02-12 11:47:00,2025-02-12 13:58:00,Soil Compaction,ZONE-D,4119.7,DELAYED
2025-02-12,OP0038,M0020,DT00048,URGENT,2025-02-12 12:00:00,2025-02-12 16:58:00,Material Stockpiling,ZONE-D,786.8,SCHEDULED
2025-02-12,OP0041,M0018,DT00150,HIGH,2025-02-12 13:00:00,2025-02-12 15:03:00,Trenching,ZONE-B,673.5,SCHEDULED
2025-02-13,OP0002,M0040,T00627,MEDIUM,2025-02-13 08:28:00,2025-02-13 14:11:30,Material Stockpiling,ZONE-D,1875.9,CANCELLED
2025-02-13,OP0038,M0040,T00588,MEDIUM,2025-02-13 06:29:00,2025-02-13 08:14:54,Soil Compaction,ZONE-B,1389.3,IN_PROGRESS
2025-02-14,OP0013,M0018,DT00045,URGENT,2025-02-14 07:00:00,2025-02-14 08:47:00,Road Preparation,ZONE-A,1114.3,COMPLETED
2025-02-14,OP0009,M0007,T00698,MEDIUM,2025-02-14 13:04:00,2025-02-14 20:17:12,Grading,ZONE-A,4315.1,COMPLETED
2025-02-14,OP0031,M0039,T00310,LOW,2025-02-14 10:18:00,2025-02-14 11:53:12,Material Loading,ZONE-D,408.1,COMPLETED
2025-02-14,OP0007,M0030,T00038,HIGH,2025-02-14 13:49:00,2025-02-15 00:55:30,Material Loading,ZONE-B,2122.3,DELAYED
2025-02-14,OP0015,M0031,T00088,HIGH,2025-02-14 12:02:00,2025-02-14 22:00:48,Earth Excavation,ZONE-A,962.2,COMPLETED
2025-02-16,OP0051,M0035,T00367,LOW,2025-02-16 11:27:00,2025-02-16 14:11:06,Road Preparation,ZONE-C,2681.9,COMPLETED
2025-02-16,OP0008,M0012,T00689,MEDIUM,2025-02-16 15:43:00,2025-02-17 04:57:18,Hauling,ZONE-C,1802.7,SCHEDULED
2025-02-16,OP0004,M0006,T00018,LOW,2025-02-16 11:44:00,2025-02-16 15:23:42,Grading,ZONE-C,2934.6,CANCELLED
2025-02-16,OP0041,M0036,T00594,HIGH,2025-02-16 15:51:00,2025-02-17 01:05:36,Hauling,ZONE-A,591.5,IN_PROGRESS
2025-02-17,OP0029,M0017,T00161,LOW,2025-02-17 15:10:00,2025-02-18 14:15:18,Material Loading,ZONE-C,2307.7,COMPLETED
2025-02-17,OP0036,M0015,T00067,LOW,2025-02-17 13:58:00,2025-02-17 17:57:42,Trenching,ZONE-B,415.7,SCHEDULED
2025-02-18,OP0039,M0017,T00459,MEDIUM,2025-02-18 08:23:00,2025-02-18 09:25:42,Trenching,ZONE-B,46.2,DELAYED
2025-02-18,OP0001,M0014,DT00095,LOW,2025-02-18 11:00:00,2025-02-18 12:29:00,Material Stockpiling,ZONE-C,514.0,IN_PROGRESS
2025-02-18,OP0054,M0012,T00286,LOW,2025-02-18 10:47:00,2025-02-18 23:38:36,Hauling,ZONE-C,2228.1,COMPLETED
2025-02-18,OP0006,M0014,T00183,MEDIUM,2025-02-18 13:51:00,2025-02-19 00:05:06,Hauling,ZONE-A,2083.1,DELAYED
2025-02-18,OP0042,M0011,T00839,MEDIUM,2025-02-18 12:55:00,2025-02-18 16:32:00,Demolition,ZONE-A,292.9,SCHEDULED
